src,dst,rel
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:10,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3575,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:11,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:184,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:11,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2525,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:11,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2526,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:11,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2527,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:11,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3577,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:12,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:174,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:12,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2528,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:12,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2529,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:12,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2530,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:12,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3578,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:13,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:171,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:13,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2531,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:13,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2532,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:13,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2533,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:13,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3579,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:14,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:183,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:14,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2534,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:14,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2535,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:14,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2536,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:14,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3503,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:15,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:173,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:15,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2537,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:15,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2538,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:15,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2539,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:15,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3325,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:16,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:322,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:16,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2540,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:16,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2541,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:16,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2542,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:16,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3559,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:17,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:323,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:17,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2543,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:17,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2544,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:17,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2545,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:17,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3445,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:18,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:323,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:18,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2546,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:18,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2547,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:18,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2548,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:18,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3520,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:19,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:321,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:19,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2549,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:19,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2550,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:19,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2551,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:19,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3360,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:20,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:485,UNDRAFTED
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:20,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2552,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:20,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2553,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:20,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3580,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:21,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:174,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:21,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2554,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:21,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2555,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:21,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2556,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:21,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3345,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:22,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:173,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:22,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2557,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:22,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2558,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:22,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2559,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:22,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3581,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:23,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:177,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:23,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2560,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:23,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2561,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:23,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2562,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:23,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3582,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:24,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:166,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:24,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2563,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:24,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2564,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:24,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2565,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:24,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3583,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:25,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:166,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:25,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2566,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:25,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2567,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:25,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2568,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:25,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3584,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:26,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:163,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:26,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2569,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:26,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2570,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:26,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3325,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:27,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:322,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:27,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2571,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:27,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2572,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:27,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2573,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:27,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3495,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:28,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:168,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:28,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2574,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:28,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2575,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:28,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2576,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:28,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3354,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:29,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:319,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:29,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2577,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:29,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2578,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:29,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2579,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:29,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3402,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:30,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:485,UNDRAFTED
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:30,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2580,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:30,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2581,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:30,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2582,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:30,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3585,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:31,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:183,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:31,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2583,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:31,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2584,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:31,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2585,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:31,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3587,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:31,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3588,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:32,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:326,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:32,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2586,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:32,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2587,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:32,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3589,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:33,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:178,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:33,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2588,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:33,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2589,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:33,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2590,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:33,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3325,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:34,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:180,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:34,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2591,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:34,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2592,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:34,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3590,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:35,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:179,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:35,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2593,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:35,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2594,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:35,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3591,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:36,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:184,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:36,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2595,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:36,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2596,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:36,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2597,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:36,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3592,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:37,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:485,UNDRAFTED
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:37,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2598,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:37,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3325,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:38,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:323,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:38,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2599,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:38,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2600,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:38,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2601,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:38,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3382,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:39,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:182,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:39,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2602,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:39,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2603,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:39,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2604,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:39,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3414,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:40,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:485,UNDRAFTED
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:40,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2605,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:40,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3338,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:41,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:170,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:41,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2606,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:41,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2607,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:41,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2608,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:41,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3516,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:42,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:177,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:42,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2609,IN_SEASON
