player_id,Age
1,37
2,32
3,34
4,31
5,30
6,26
7,30
8,24
9,36
10,33
11,27
12,28
13,30
14,28
15,26
16,27
17,40
18,34
19,29
20,28
21,35
22,26
23,30
24,27
25,26
26,34
27,35
28,33
29,31
30,36
31,32
32,35
33,35
34,31
35,28
36,32
37,28
38,32
39,31
40,33
41,29
42,30
43,29
44,31
45,34
46,31
47,28
48,32
49,23
50,32
51,25
52,27
53,29
54,27
55,32
56,30
57,33
58,36
59,35
60,27
61,25
62,25
63,39
64,29
65,31
66,33
67,35
68,33
69,25
70,32
71,40
73,32
74,37
75,33
77,27
78,23
79,28
80,32
81,29
82,29
83,31
84,30
85,26
86,31
87,25
88,25
89,27
90,31
91,29
92,35
93,27
94,27
95,26
96,25
97,27
98,33
99,28
100,31
101,39
102,26
103,32
104,26
105,27
106,23
107,32
108,28
109,33
110,36
111,34
112,29
113,28
114,37
115,34
116,38
117,25
118,35
119,31
120,31
121,25
122,28
123,27
124,26
125,25
126,29
127,27
128,25
129,27
130,33
131,32
132,28
133,29
134,34
135,31
136,29
137,37
138,25
139,32
140,36
141,30
142,36
143,36
144,26
145,26
146,27
147,24
148,31
149,23
150,30
151,30
152,26
153,36
154,35
155,29
156,25
157,26
158,25
159,30
160,24
161,26
162,32
163,26
164,38
165,34
167,33
168,26
169,36
171,27
172,35
173,29
174,35
175,28
176,29
177,35
178,28
179,33
180,30
182,22
183,30
184,33
185,29
186,30
187,32
188,24
189,32
190,33
191,31
192,33
193,24
194,34
195,29
196,25
197,31
198,36
199,37
200,30
201,32
202,24
203,28
204,30
205,23
206,29
207,27
208,26
209,26
210,35
211,28
212,23
213,24
214,37
215,31
216,29
217,28
218,31
220,31
221,25
222,26
223,31
224,37
225,33
226,24
227,29
228,32
229,33
230,28
231,30
232,30
233,26
234,27
235,29
236,33
237,27
238,22
239,33
240,33
241,36
242,27
243,24
244,27
245,30
246,30
247,24
248,26
249,29
250,25
251,27
252,30
253,25
254,30
255,27
256,34
257,33
258,29
259,34
260,39
261,31
262,27
263,35
264,26
266,25
267,36
268,37
270,26
272,35
273,36
274,27
276,28
277,30
278,32
279,27
280,33
281,33
282,35
283,28
284,26
285,22
286,32
287,36
288,32
289,22
290,28
291,27
292,28
293,33
294,32
295,24
296,22
297,33
298,35
299,27
300,26
301,35
302,28
303,32
304,29
305,26
306,25
307,32
308,28
309,28
310,30
311,34
312,24
314,31
315,31
316,27
317,23
318,24
319,29
320,27
323,34
326,29
328,28
329,33
330,28
331,27
332,25
333,31
334,30
335,28
337,28
338,24
339,24
341,27
342,28
343,31
344,24
345,34
346,30
348,29
349,36
350,26
351,25
352,26
353,40
354,30
355,24
356,28
357,27
359,29
360,25
361,25
362,25
363,32
364,25
365,27
366,27
367,20
368,29
369,36
370,28
371,32
372,29
373,25
374,29
375,32
376,24
377,24
378,25
379,29
380,37
381,29
382,25
383,24
384,32
385,28
386,26
387,27
388,28
389,24
390,24
391,26
392,29
393,31
394,25
395,30
396,27
397,38
398,29
399,25
400,29
402,32
403,29
404,27
405,29
406,26
408,27
410,27
411,31
415,29
416,23
417,28
419,24
420,24
421,29
422,34
427,25
428,39
429,24
430,31
431,26
432,29
433,26
436,24
437,28
438,24
439,26
440,29
441,23
442,29
443,27
444,31
446,26
449,30
450,29
451,26
452,29
453,23
457,30
458,24
460,28
463,24
465,25
466,32
468,23
470,26
475,26
479,22
481,25
482,27
485,32
486,28
490,25
493,25
494,21
495,23
500,24
504,36
505,26
513,31
519,23
525,27
535,27
541,35
542,23
543,23
544,23
545,23
546,24
547,27
549,22
550,24
551,26
554,24
555,24
556,23
557,23
558,22
559,26
560,22
561,25
562,23
563,31
564,26
565,22
566,26
567,23
569,27
570,21
571,27
572,24
573,24
574,27
575,23
578,23
579,23
583,25
586,25
588,23
589,27
590,25
591,22
592,24
594,19
595,28
597,25
598,26
599,29
600,23
601,20
603,22
604,23
605,28
608,24
614,26
615,24
617,26
620,21
621,25
622,24
624,26
625,25
630,27
631,28
632,23
633,28
634,24
636,24
637,26
638,28
640,22
645,21
647,27
662,24
663,22
686,27
689,26
696,22
697,23
698,23
700,24
701,22
702,24
703,22
705,22
706,22
707,24
708,25
709,24
710,23
711,21
712,23
713,20
714,22
715,25
717,24
718,29
720,23
721,22
722,22
724,21
725,23
726,27
727,21
728,22
729,22
730,24
731,24
732,21
733,25
736,21
737,22
738,22
739,22
740,27
741,22
743,24
744,24
745,22
747,23
748,22
752,23
756,23
757,23
759,23
761,24
762,22
766,25
767,24
768,22
773,25
774,23
775,26
785,21
786,22
787,23
788,20
789,21
790,21
791,20
792,24
793,22
794,22
795,29
796,22
797,21
798,21
799,22
800,20
801,24
802,25
803,23
804,21
805,25
806,20
807,31
808,24
810,21
812,24
814,21
815,20
816,25
818,23
819,28
820,24
821,21
822,21
823,23
825,23
829,22
830,21
832,20
834,21
836,23
837,25
840,22
850,21
851,23
852,23
853,24
860,25
861,22
862,21
863,25
868,20
880,22
886,21
887,20
889,20
890,20
892,29
893,21
895,21
896,19
897,21
898,21
899,23
900,21
901,24
902,21
903,20
904,20
905,20
906,25
909,24
910,20
912,24
915,22
916,24
918,24
919,22
921,21
922,23
923,19
924,23
926,19
927,22
931,20
932,24
933,20
934,21
935,24
937,22
938,23
939,23
942,24
943,22
951,23
957,23
