player_id,player_name,team_id,year,draft_team_abbr,round,round_pick,overall_pick
130,Alec Burks,29,2011,UTA,1,12,12
131,Will Barton,25,2012,POR,2,10,40
132,Jalen Brunson,7,2018,DAL,2,3,33
133,Myles Turner,12,2015,IND,1,11,11
135,Kyle Anderson,27,2014,SAS,1,30,30
136,Aaron Gordon,22,2014,ORL,1,4,4
137,Brook Lopez,3,2008,BKN,1,10,10
138,Saddiq Bey,3,2020,BKN,1,19,19
139,Eric Bledsoe,21,2010,OKC,1,18,18
140,Kevin Love,15,2008,MEM,1,5,5
141,Josh Richardson,16,2015,MIA,2,10,40
142,Thaddeus Young,23,2007,PHI,1,12,12
144,Jordan Poole,10,2019,GSW,1,28,28
145,Kevin Huerter,1,2018,ATL,1,19,19
146,Malik Monk,4,2017,CHA,1,11,11
147,Hamidou Diallo,3,2018,BKN,2,15,45
148,Davis Bertans,12,2011,IND,2,12,42
149,James Wiseman,10,2020,GSW,1,2,2
150,Jusuf Nurkić,5,2014,CHI,1,16,16
151,Bobby Portis,5,2015,CHI,1,22,22
152,Immanuel Quickley,21,2020,OKC,1,25,25
153,Rudy Gay,11,2006,HOU,1,8,8
154,Lou Williams,23,2005,PHI,2,15,45
156,Cam Reddish,1,2019,ATL,1,10,10
157,Wendell Carter Jr.,5,2018,CHI,1,7,7
159,Enes Freedom,29,2011,UTA,1,3,3
161,Lonnie Walker IV,27,2018,SAS,1,18,18
162,Serge Ibaka,21,2008,OKC,1,24,24
163,Nickeil Alexander-Walker,3,2019,BKN,1,17,17
164,Jeff Green,2,2007,BOS,1,5,5
165,Blake Griffin,13,2009,LAC,1,1,1
166,Dwayne Bacon,19,2017,NOP,2,10,40
167,Reggie Bullock Jr.,13,2013,LAC,1,25,25
169,Patty Mills,25,2009,POR,2,25,55
171,Ty Jerome,23,2019,PHI,1,24,24
172,Reggie Jackson,21,2011,OKC,1,24,24
173,Grayson Allen,29,2018,UTA,1,21,21
175,Donte DiVincenzo,17,2018,MIL,1,17,17
176,Cedi Osman,18,2015,MIN,2,1,31
177,Mason Plumlee,3,2013,BKN,1,22,22
178,Brandon Clarke,21,2019,OKC,1,21,21
179,Delon Wright,28,2015,TOR,1,20,20
180,Monté Morris,8,2017,DEN,2,21,51
181,Elfrid Payton,23,2014,PHI,1,10,10
182,Theo Maledon,23,2020,PHI,2,4,34
183,Jeremy Lamb,11,2012,HOU,1,12,12
184,Jae Crowder,6,2012,CLE,2,4,34
186,Gary Harris,5,2014,CHI,1,19,19
188,Frank Jackson,4,2017,CHA,2,1,31
189,Kentavious Caldwell-Pope,9,2013,DET,1,8,8
190,Mike Muscala,7,2013,DAL,2,14,44
191,Otto Porter Jr.,30,2013,WAS,1,3,3
193,Isaac Okoro,6,2020,CLE,1,5,5
194,Wayne Ellington,18,2009,MIN,1,28,28
195,Cameron Johnson,18,2019,MIN,1,11,11
196,Eric Paschall,10,2019,GSW,2,11,41
197,Taurean Prince,29,2016,UTA,1,12,12
198,Danny Green,6,2009,CLE,2,16,46
199,Trevor Ariza,20,2004,NYK,2,14,43
200,Cody Zeller,4,2013,CHA,1,4,4
201,Larry Nance Jr.,14,2015,LAL,1,27,27
202,KJ Martin,26,2020,SAC,2,22,52
203,Landry Shamet,23,2018,PHI,1,26,26
204,Josh Hart,29,2017,UTA,1,30,30
205,Patrick Williams,5,2020,CHI,1,4,4
207,Desmond Bane,2,2020,BOS,1,30,30
208,Furkan Korkmaz,23,2016,PHI,1,26,26
209,De'Anthony Melton,11,2018,HOU,2,16,46
210,Robin Lopez,24,2008,PHX,1,15,15
211,Ivica Zubac,14,2016,LAL,2,2,32
212,Jaylen Nowell,18,2019,MIN,2,13,43
213,Talen Horton-Tucker,22,2019,ORL,2,16,46
214,Paul Millsap,29,2006,UTA,2,17,47
215,DeMarcus Cousins,26,2010,SAC,1,5,5
216,Michael Carter-Williams,23,2013,PHI,1,11,11
217,Bruce Brown,9,2018,DET,2,12,42
219,Jay Scrubb,3,2020,BKN,2,25,55
220,Dario Šarić,22,2014,ORL,1,12,12
221,Isaiah Roby,9,2019,DET,2,15,45
223,Raul Neto,1,2013,ATL,2,17,47
224,George Hill,27,2008,SAS,1,26,26
227,Jakob Poeltl,28,2016,TOR,1,9,9
228,Ricky Rubio,18,2009,MIN,1,5,5
230,Svi Mykhailiuk,14,2018,LAL,2,17,47
231,Cameron Payne,21,2015,OKC,1,14,14
232,James Ennis III,1,2013,ATL,2,20,50
234,Mitchell Robinson,20,2018,NYK,2,6,36
235,Luke Kennard,9,2017,DET,1,12,12
236,Cory Joseph,27,2011,SAS,1,29,29
237,Sterling Brown,23,2017,PHI,2,16,46
238,Aleksej Pokusevski,18,2020,MIN,1,17,17
239,Hassan Whiteside,26,2010,SAC,2,3,33
241,Nicolas Batum,11,2008,HOU,1,25,25
242,Robert Williams III,2,2018,BOS,1,27,27
243,Tyrese Maxey,23,2020,PHI,1,21,21
244,Mo Bamba,22,2018,ORL,1,6,6
246,Austin Rivers,19,2012,NOP,1,10,10
247,Isaiah Stewart,25,2020,POR,1,16,16
248,Anfernee Simons,25,2018,POR,1,24,24
249,Willy Hernangomez,23,2015,PHI,2,5,35
250,Chuma Okeke,22,2019,ORL,1,16,16
251,Payton Pritchard,2,2020,BOS,1,26,26
252,Tomas Satoransky,30,2012,WAS,2,2,32
256,D.J. Augustin,4,2008,CHA,1,9,9
257,Isaiah Thomas,26,2011,SAC,2,30,60
258,Ben McLemore,26,2013,SAC,1,7,7
259,Tristan Thompson,6,2011,CLE,1,4,4
261,Steven Adams,21,2013,OKC,1,12,12
262,Edmond Sumner,19,2017,NOP,2,22,52
263,Patrick Beverley,14,2009,LAL,2,12,42
264,Malachi Flynn,28,2020,TOR,1,29,29
265,Henry Ellenson,9,2016,DET,1,18,18
266,Jaxson Hayes,1,2019,ATL,1,8,8
267,DeAndre Jordan,13,2008,LAC,2,5,35
268,JJ Redick,22,2006,ORL,1,11,11
269,Jalen Harris,28,2020,TOR,2,29,59
270,Jalen McDaniels,4,2019,CHA,2,22,52
272,JaVale McGee,30,2008,WAS,1,18,18
273,James Johnson,5,2009,CHI,1,16,16
274,Juancho Hernangomez,8,2016,DEN,1,15,15
275,Justin Jackson,8,2018,DEN,2,13,43
276,Aaron Holiday,12,2018,IND,1,23,23
279,Tony Bradley,14,2017,LAL,1,28,28
282,Draymond Green,10,2012,GSW,2,5,35
283,Terance Mann,13,2019,LAC,2,18,48
284,Daniel Gafford,5,2019,CHI,2,8,38
285,Ignas Brazdeikis,26,2019,SAC,2,17,47
287,Dwight Howard,22,2004,ORL,1,1,1
288,Georges Niang,12,2016,IND,2,20,50
289,R.J. Hampton,17,2020,MIL,1,24,24
290,Moritz Wagner,14,2018,LAL,1,25,25
291,Justise Winslow,16,2015,MIA,1,10,10
293,Gorgui Dieng,29,2013,UTA,1,21,21
294,Pat Connaughton,3,2015,BKN,2,11,41
295,Jaden McDaniels,14,2020,LAL,1,28,28
296,Killian Hayes,9,2020,DET,1,7,7
297,Jeff Teague,1,2009,ATL,1,19,19
299,Damyean Dotson,20,2017,NYK,2,14,44
300,Dennis Smith Jr.,7,2017,DAL,1,9,9
301,Markieff Morris,24,2011,PHX,1,13,13
302,Abdel Nader,2,2016,BOS,2,28,58
303,Spencer Dinwiddie,9,2014,DET,2,8,38
304,Trey Burke,18,2013,MIN,1,9,9
305,Nic Claxton,3,2019,BKN,2,1,31
306,Xavier Tillman,26,2020,SAC,2,5,35
307,Alex Len,24,2013,PHX,1,5,5
308,Frank Kaminsky,4,2015,CHA,1,9,9
309,Denzel Valentine,5,2016,CHI,1,14,14
311,Nemanja Bjelica,30,2010,WAS,2,5,35
312,Marquese Chriss,24,2016,PHX,1,8,8
314,Avery Bradley,2,2010,BOS,1,19,19
316,Timothe Luwawu-Cabarrot,23,2016,PHI,1,24,24
317,Kira Lewis Jr.,19,2020,NOP,1,13,13
318,Deni Avdija,30,2020,WAS,1,9,9
319,Tyus Jones,6,2015,CLE,1,24,24
320,Chimezie Metu,17,2018,MIL,2,19,49
321,Frank Mason III,26,2017,SAC,2,4,34
329,Dwight Powell,4,2014,CHA,2,15,45
331,DeAndre' Bembry,1,2016,ATL,1,21,21
332,Jordan Nwora,17,2020,MIL,2,15,45
338,Saben Lee,29,2020,UTA,2,8,38
341,Jabari Parker,17,2014,MIL,1,2,2
344,Devin Vassell,27,2020,SAS,1,11,11
346,Derrick Favors,3,2010,BKN,1,3,3
347,Justin Patton,5,2017,CHI,1,16,16
349,Rajon Rondo,24,2006,PHX,1,21,21
350,Jarred Vanderbilt,22,2018,ORL,2,11,41
351,Jahlil Okafor,23,2015,PHI,1,3,3
352,Josh Okogie,18,2018,MIN,1,20,20
353,Taj Gibson,5,2009,CHI,1,26,26
354,Tony Snell,5,2013,CHI,1,20,20
355,Jarrett Culver,24,2019,PHX,1,6,6
356,Willie Cauley-Stein,26,2015,SAC,1,6,6
357,Glenn Robinson III,18,2014,MIN,2,10,40
359,Maurice Harkless,23,2012,PHI,1,15,15
360,D.J. Wilson,17,2017,MIL,1,17,17
361,Alize Johnson,12,2018,IND,2,20,50
362,Dylan Windler,6,2019,CLE,1,26,26
363,Patrick Patterson,11,2010,HOU,1,14,14
364,Goga Bitadze,12,2019,IND,1,18,18
365,Jake Layman,22,2016,ORL,2,17,47
366,Isaiah Hartenstein,11,2017,HOU,2,13,43
367,Sekou Doumbouya,9,2019,DET,1,15,15
368,Nerlens Noel,19,2013,NOP,1,6,6
369,Marc Gasol,14,2007,LAL,2,18,48
371,Bismack Biyombo,26,2011,SAC,1,7,7
372,Trey Lyles,29,2015,UTA,1,12,12
373,Precious Achiuwa,16,2020,MIA,1,20,20
375,E'Twaun Moore,2,2011,BOS,2,25,55
376,Jerome Robinson,13,2018,LAC,1,13,13
382,Aaron Nesmith,2,2020,BOS,1,14,14
383,Troy Brown Jr.,30,2018,WAS,1,15,15
385,Damian Jones,10,2016,GSW,1,30,30
386,Grant Williams,2,2019,BOS,1,22,22
387,Semi Ojeleye,2,2017,BOS,2,7,37
389,Nassir Little,25,2019,POR,1,25,25
390,Onyeka Okongwu,1,2020,ATL,1,6,6
392,Rodney Hood,29,2014,UTA,1,23,23
393,Solomon Hill,12,2013,IND,1,23,23
395,Al-Farouq Aminu,13,2010,LAC,1,8,8
396,Stanley Johnson,9,2015,DET,1,8,8
397,Andre Iguodala,23,2004,PHI,1,9,9
399,Chandler Hutchison,5,2018,CHI,1,22,22
402,Mike Scott,1,2012,ATL,2,13,43
403,Jevon Carter,15,2018,MEM,2,2,32
405,Kevon Looney,10,2015,GSW,1,30,30
407,Nico Mannion,10,2020,GSW,2,18,48
410,Obi Toppin,20,2020,NYK,1,8,8
411,Darius Miller,19,2012,NOP,2,16,46
413,Jordan Bone,19,2019,NOP,2,27,57
415,Cody Martin,4,2019,CHA,2,6,36
416,Carsen Edwards,23,2019,PHI,2,3,33
417,Matisse Thybulle,2,2019,BOS,1,20,20
419,Kevin Knox II,20,2018,NYK,1,9,9
420,Justin James,26,2019,SAC,2,10,40
