player_id,award,year,team
11,All-NBA,2023,1st
25,All-NBA,2023,1st
1,All-NBA,2023,2nd
33,All-NBA,2023,2nd
13,All-NBA,2023,2nd
12,All-NBA,2023,2nd
20,All-NBA,2023,2nd
17,All-NBA,2023,3rd
3,All-NBA,2023,3rd
23,All-NBA,2023,3rd
41,All-NBA,2023,3rd
16,All-NBA,2023,3rd
696,All-Rookie 1st Team,2023,
710,All-Rookie 1st Team,2023,
700,All-Rookie 1st Team,2023,
702,All-Rookie 1st Team,2023,
697,All-Rookie 1st Team,2023,
701,All-Rookie 2nd Team,2023,
709,All-Rookie 2nd Team,2023,
698,All-Rookie 2nd Team,2023,
711,All-Rookie 2nd Team,2023,
703,All-Rookie 2nd Team,2023,
137,All-Defensive,2023,1st
59,All-Defensive,2023,1st
315,All-Defensive,2023,1st
96,All-Defensive,2023,1st
546,All-Defensive,2023,1st
282,All-Defensive 2nd Team,2023,
84,All-Defensive 2nd Team,2023,
64,All-Defensive 2nd Team,2023,
77,All-Defensive 2nd Team,2023,
54,All-Defensive 2nd Team,2023,
11,All-Star MVP,2023,
59,Twyman-Stokes Teammate of the Year Award,2023,
33,NBA Eastern Conference Finals MVP,2023,
13,NBA Western Conference Finals MVP,2023,
16,Clutch Player of the Year,2023,
13,Most Valuable Player,2024,
98,Defensive Player of the Year,2024,
785,Rookie of the Year,2024,
158,Sixth Man of the Year,2024,
243,Most Improved Player,2024,
20,Finals MVP,2024,
5,All-NBA,2024,1st
13,All-NBA,2024,1st
6,All-NBA,2024,1st
11,All-NBA,2024,1st
25,All-NBA,2024,1st
9,All-NBA,2024,2nd
18,All-NBA,2024,2nd
31,All-NBA,2024,2nd
132,All-NBA,2024,2nd
49,All-NBA,2024,2nd
17,All-NBA,2024,3rd
1,All-NBA,2024,3rd
14,All-NBA,2024,3rd
41,All-NBA,2024,3rd
121,All-NBA,2024,3rd
792,All-Rookie 1st Team,2024,
787,All-Rookie 1st Team,2024,
786,All-Rookie 1st Team,2024,
794,All-Rookie 1st Team,2024,
785,All-Rookie 1st Team,2024,
790,All-Rookie 2nd Team,2024,
797,All-Rookie 2nd Team,2024,
810,All-Rookie 2nd Team,2024,
793,All-Rookie 2nd Team,2024,
788,All-Rookie 2nd Team,2024,
31,All-Defensive,2024,1st
98,All-Defensive,2024,1st
54,All-Defensive,2024,1st
559,All-Defensive,2024,1st
785,All-Defensive,2024,1st
59,All-Defensive 2nd Team,2024,
315,All-Defensive 2nd Team,2024,
84,All-Defensive 2nd Team,2024,
295,All-Defensive 2nd Team,2024,
550,All-Defensive 2nd Team,2024,
3,All-Star MVP,2024,
74,Twyman-Stokes Teammate of the Year Award,2024,
17,NBA Cup MVP,2024,
17,NBA Cup All-Tournament Team,2024,
9,NBA Cup All-Tournament Team,2024,
1,Clutch Player of the Year,2024,
31,NBA Cup All-Tournament Team,2024,
5,NBA Cup All-Tournament Team,2024,
20,NBA Eastern Conference Finals MVP,2024,
6,NBA Western Conference Finals MVP,2024,
121,NBA Cup All-Tournament Team,2024,
