player_name,player_id,undrafted_flag
Christian Wood,37,True
Fred VanVleet,46,True
Elijah Bryant,76,True
Kendrick Nunn,94,True
Luguentz Dort,104,True
Chris Boucher,107,True
Duncan Robinson,119,True
Seth Curry,134,True
Joe Ingles,143,True
Jae'Sean Tate,155,True
Naz Reid,158,True
Armoni Brooks,160,True
Oshae Brissett,168,True
Cameron Oliver,170,True
Justin Holiday,174,True
Bryn Forbes,185,True
Dorian Finney-Smith,187,True
Daniel Theis,192,True
David Nwaba,206,True
Danuel House Jr.,218,True
Terence Davis,222,True
T.J. McConnell,225,True
Moses Brown,226,True
Robert Covington,229,True
Gabriel Deck,233,True
JaMychal Green,240,True
Kenrich Williams,245,True
PJ Dozier,253,True
Mike James,254,True
Naji Marshall,255,True
Garrett Temple,260,True
Louis King,271,True
Khem Birch,277,True
Kent Bazemore,278,True
Dewayne Dedmon,280,True
Maxi Kleber,281,True
Royce O'Neale,286,True
Derrick Jones Jr.,292,True
Ish Smith,298,True
Damion Lee,310,True
Chasson Randle,313,True
Alex Caruso,315,True
Robert Franks,322,True
Aron Baynes,323,True
Jaylen Hoard,324,True
Facundo Campazzo,325,True
Max Strus,326,True
Dakota Mathias,327,True
Dean Wade,328,True
Drew Eubanks,330,True
Rodney McGruder,333,True
Juan Toscano-Anderson,334,True
Mychal Mulder,335,True
Donta Hall,336,True
Yogi Ferrell,337,True
Freddie Gillespie,339,True
Anthony Lamb,340,True
Garrison Mathews,342,True
Brad Wanamaker,343,True
Torrey Craig,345,True
Tyler Johnson,348,True
Mason Jones,358,True
Jordan McLaughlin,370,True
Caleb Martin,374,True
Tyler Cook,377,True
Brandon Goodwin,378,True
Gabe Vincent,379,True
Wesley Matthews,380,True
Langston Galloway,381,True
Boban Marjanovic,384,True
JaKarr Sampson,388,True
Kelan Martin,391,True
Charlie Brown Jr.,394,True
Yuta Watanabe,398,True
John Konchar,400,True
Devin Cannady,401,True
Lamar Stevens,404,True
Paul Watson,406,True
DaQuan Jeffries,408,True
Josh Hall,409,True
Chris Chiozza,412,True
Udonis Haslem,414,True
Brodric Thomas,418,True
Nathan Knight,424,True
Javonte Green,430,True
Wenyen Gabriel,431,True
Luke Kornet,432,True
Quinn Cook,435,True
Amir Coffey,437,True
Killian Tillie,438,True
Mamadi Diakite,439,True
Alfonzo McKinnie,440,True
Ryan Arcidiacono,442,True
Matt Thomas,443,True
Anthony Gill,444,True
Gary Clark,446,True
Cam Reynolds,447,True
Nicolo Melli,449,True
Trent Forrest,451,True
Markus Howard,454,True
Matthew Dellavedova,457,True
Amida Brimah,461,True
Gary Payton II,466,True
Tacko Fall,469,True
Jeremiah Martin,471,True
Rayjon Tucker,473,True
Justin Robinson,476,True
Sean McDermott,480,True
Shaquille Harrison,482,True
Chris Silva,483,True
Devon Dotson,484,True
Jontay Porter,488,True
Nate Hinton,491,True
Devontae Cacok,493,True
Axel Toupane,499,True
James Nunnally,502,True
Tim Frazier,503,True
Anthony Tolliver,504,True
Norvel Pelle,506,True
Nate Darling,510,True
Cristiano Felicio,511,True
Jalen Lecque,512,True
Juwan Morgan,514,True
Marques Bolden,516,True
Karim Mane,517,True
Adam Mokoka,518,True
Malik Fitts,521,True
Vincent Poirier,527,True
Keljin Blevins,528,True
Ty-Shon Alexander,529,True
Brian Bowen II,530,True
Jared Harper,532,True
Jaylen Adams,533,True
Theo Pinson,535,True
Ashton Hagans,537,True
Greg Whittington,538,True
Will Magnay,540,True
Brandon Williams,548,True
Zavier Simpson,552,True
Duane Washington Jr.,556,True
Terry Taylor,557,True
Malik Newman,568,True
Lindy Waters III,569,True
Trendon Watford,572,True
Austin Reaves,574,True
Braxton Key,576,True
Olivier Sarr,577,True
BJ Johnson,580,True
Derrick Walton Jr.,584,True
Hassani Gravett,585,True
Chaundee Brown Jr.,587,True
Jose Alvarado,589,True
Xavier Moon,593,True
Keifer Sykes,595,True
Omer Yurtseven,598,True
Jock Landale,599,True
David Duke Jr.,600,True
Cameron McGriff,602,True
Trevelin Queen,606,True
Lindell Wigginton,607,True
Gabe York,609,True
Mac McClung,610,True
Micah Potter,611,True
Scotty Hopson,612,True
Jamorko Pickett,613,True
Malcolm Hill,616,True
Gabriel Lundberg,619,True
Daishen Nix,620,True
Javonte Smart,623,True
Matt Ryan,624,True
Paris Bass,626,True
Trevon Scott,627,True
Aleem Ford,629,True
Sam Hauser,630,True
Ish Wainright,631,True
Haywood Highsmith,633,True
Justin Champagnie,634,True
Jeff Dowtin Jr.,638,True
Ahmad Caver,641,True
Craig Sword,642,True
Jemerrio Jones,643,True
Eugene Omoruyi,647,True
Wayne Selden,649,True
Kevin Pangos,650,True
Rob Edwards,652,True
Jordan Schakel,655,True
Moses Wright,656,True
Myles Powell,657,True
Marcus Garrett,658,True
Yves Pons,659,True
Ruben Nembhard Jr.,661,True
McKinley Wright IV,664,True
Shaq Buchanan,665,True
Carlik Jones,666,True
Jarron Cumberland,667,True
Jaylen Morris,668,True
Xavier Sneed,669,True
Aaron Henry,672,True
Joel Ayayi,673,True
Ade Murkey,675,True
Cat Barber,678,True
DeJon Jarreau,680,True
Emanuel Terry,681,True
Feron Hunt,682,True
JaQuori McLaughlin,683,True
Jaime Echenique,684,True
Javin DeLaurier,685,True
Jay Huff,686,True
Jaysean Paige,687,True
Jon Teske,688,True
Jordan Goodwin,689,True
MJ Walker,690,True
Matt Mooney,691,True
Trayvon Palmer,693,True
Tyler Hall,694,True
Zylan Cheatham,695,True
Nate Williams,704,True
Julian Champagnie,707,True
Chance Comanche,716,True
Simone Fontecchio,718,True
Quenton Jackson,719,True
Jamal Cain,723,True
Kenneth Lofton Jr.,727,True
Johnny Juzang,730,True
AJ Green,733,True
Justin Minaya,734,True
Kevon Harris,735,True
Dominick Barlow,737,True
Xavier Cooks,740,True
Darius Days,742,True
Orlando Robinson,743,True
A.J. Lawson,744,True
Jared Rhoden,746,True
Jordan Hall,749,True
Jacob Gilyard,751,True
Jamaree Bouyea,753,True
Dru Smith,755,True
Lester Quinones,759,True
John Butler Jr.,760,True
Scotty Pippen Jr.,761,True
Ron Harper Jr.,763,True
Donovan Williams,765,True
Stanley Umude,766,True
Trevor Hudgins,769,True
Buddy Boeheim,770,True
Keon Ellis,773,True
Cole Swider,776,True
Jack White,777,True
Chima Moneke,778,True
Kobi Simmons,779,True
Dereon Seabron,781,True
Alondes Williams,782,True
Deonte Burton,783,True
Michael Foster Jr.,784,True
Duop Reath,795,True
Javon Freeman-Liberty,808,True
Maozinha Pereira,809,True
Trey Jemison III,811,True
Tosan Evbuomwan,813,True
Craig Porter Jr.,816,True
Dexter Dennis,817,True
