player_id,season,GP,Min,PTS,FP,PTS_per_min,FTA,FTM_per_min,FGA_per_min,3PA_per_min,FG%,3P%,FT%,TS%_calc,DREB_share,PF_per_min,salary_cap_ratio,log_salary_cap_ratio
1,2020,63,34.2,32.0,47.9,0.935672514619883,6.3,0.1666666666666666,0.6345029239766081,0.371345029239766,48.2,42.1,91.6,0.6538084341288003,0.9090909090909092,0.0555555555555555,0.3940476635514018,0.3322115036845057
1,2021,64,34.5,25.5,43.1,0.7391304347826086,4.7,0.1246376811594202,0.5536231884057972,0.3391304347826087,43.7,38.0,92.3,0.6023242630385487,0.903846153846154,0.0579710144927536,0.4072532424786948,0.3416397494834836
1,2022,56,34.7,29.4,46.8,0.8472622478386166,5.0,0.132564841498559,0.5821325648414984,0.3285302593659942,49.3,42.7,91.5,0.65625,0.8852459016393444,0.0605187319884726,0.3887429865351178,0.3283990117592152
1,2023,74,32.7,26.4,40.0,0.8073394495412843,4.4,0.1223241590214067,0.5963302752293578,0.3608562691131498,45.0,40.8,92.3,0.6157865273371897,0.8888888888888888,0.0489296636085626,0.3817324632352941,0.3233381199447381
1,2024,70,32.2,24.5,40.7,0.7608695652173912,4.3,0.124223602484472,0.5590062111801242,0.3478260869565217,44.8,39.7,93.3,0.6158254574703399,0.8863636363636362,0.0434782608695652,0.3966285600477992,0.3340611609183995
2,2020,60,35.8,31.3,45.0,0.8743016759776537,7.7,0.1899441340782123,0.6424581005586593,0.1731843575418994,48.5,34.9,88.9,0.5930726087615583,0.7446808510638298,0.0642458100558659,0.2634393897746014,0.2338376765923054
2,2021,40,36.0,23.2,39.3,0.6444444444444444,5.1,0.1166666666666666,0.5361111111111111,0.1472222222222222,45.1,30.0,83.3,0.5384329743780171,0.8085106382978723,0.0666666666666666,0.3,0.262364264467491
2,2022,50,33.5,23.2,37.8,0.6925373134328358,4.6,0.1134328358208955,0.5253731343283583,0.1313432835820895,50.6,36.5,84.2,0.5911129229514879,0.7948717948717949,0.0626865671641791,0.35,0.3001045924503381
2,2023,53,33.3,18.2,32.9,0.5465465465465466,2.5,0.063063063063063,0.4174174174174174,0.1321321321321321,51.3,43.0,81.3,0.6066666666666667,0.7727272727272726,0.072072072072072,0.3436881617647059,0.2954181926830754
2,2024,53,32.1,17.0,29.5,0.5295950155763239,2.6,0.0654205607476635,0.4080996884735202,0.1557632398753894,49.7,38.6,80.3,0.5967424880651503,0.8181818181818182,0.0809968847352024,0.3570996813383788,0.3053498352944455
3,2020,67,35.8,28.8,45.7,0.8044692737430168,7.2,0.1871508379888268,0.5558659217877095,0.2932960893854748,45.1,39.1,92.8,0.6242413733310214,0.8809523809523809,0.0418994413407821,0.2897833333333333,0.2544742456106153
3,2021,29,36.4,24.0,39.9,0.6593406593406593,6.2,0.1510989010989011,0.521978021978022,0.2692307692307693,40.2,32.4,87.8,0.5522827687776141,0.902439024390244,0.0357142857142857,0.35,0.3001045924503381
3,2022,58,36.3,32.2,49.1,0.8870523415977963,9.6,0.2424242424242424,0.5702479338842975,0.3112947658402204,46.3,37.1,91.4,0.6459637297384048,0.8333333333333334,0.0523415977961432,0.3436374752335125,0.2953804700263929
3,2023,73,35.3,24.3,41.1,0.6883852691218131,7.0,0.1841359773371104,0.4957507082152975,0.2407932011331445,42.4,35.4,92.0,0.5903790087463557,0.8863636363636362,0.0509915014164306,0.3355888529411764,0.2893722829467955
3,2024,58,36.1,24.9,42.5,0.6897506925207756,6.8,0.1717451523545706,0.4736842105263158,0.2493074792243767,44.8,37.6,92.1,0.6196496117857853,0.8936170212765957,0.0470914127423822,0.3470258912567218,0.2978991186664537
4,2020,51,31.1,28.5,49.3,0.9163987138263664,10.7,0.2958199356913183,0.5659163987138264,0.0964630225080385,51.3,37.7,85.9,0.6387842926304464,0.7924528301886793,0.0771704180064308,0.2706799523547737,0.2395521527523759
4,2021,68,33.8,30.6,55.5,0.9053254437869824,11.8,0.2840236686390532,0.5798816568047338,0.1094674556213017,49.9,37.1,81.4,0.6171345595353339,0.8205128205128205,0.0798816568047337,0.280920436956251,0.2475789108812749
4,2022,66,34.6,33.1,56.2,0.9566473988439308,11.7,0.2890173410404624,0.5809248554913296,0.0867052023121387,54.8,33.0,85.7,0.6554974651457541,0.823529411764706,0.0895953757225433,0.2718593667866241,0.2404798981033059
4,2023,39,33.6,34.7,61.1,1.0327380952380951,11.6,0.3035714285714285,0.6488095238095238,0.1071428571428571,52.9,38.8,88.3,0.6448855188819507,0.7818181818181817,0.0863095238095238,0.3448529411764706,0.296284669660768
4,2024,19,30.2,23.8,42.1,0.7880794701986755,8.9,0.2582781456953642,0.5496688741721855,0.1357615894039735,44.4,29.9,88.2,0.5800350945603431,0.7682926829268293,0.0728476821192053,0.3657206731726747,0.3116822550063401
5,2020,61,33.0,28.1,53.9,0.8515151515151516,9.5,0.1969696969696969,0.5454545454545454,0.1090909090909091,56.9,30.3,68.5,0.633453561767358,0.8545454545454546,0.0848484848484848,0.2522273227047829,0.2249238238520723
5,2021,67,32.9,29.9,56.5,0.9088145896656536,11.4,0.2522796352583586,0.5653495440729484,0.1094224924012158,55.3,29.3,72.2,0.6330453929539295,0.8275862068965517,0.0972644376899696,0.3500006226982404,0.3001050537081876
5,2022,63,32.1,31.1,54.8,0.968847352024922,12.3,0.2461059190031152,0.632398753894081,0.0841121495327102,55.3,27.5,64.5,0.6047759800871189,0.8135593220338982,0.0965732087227414,0.3436374752335125,0.2953804700263929
