player_id,award,year,team
78,All-Rookie,2021,1st
121,All-Rookie,2021,1st
138,All-Rookie,2021,1st
155,All-Rookie,2021,1st
152,All-Rookie,2021,2nd
193,All-Rookie,2021,2nd
205,All-Rookie,2021,2nd
207,All-Rookie,2021,2nd
247,All-Rookie,2021,2nd
5,All-Star MVP,2021,
98,Defensive Player of the Year,2021,
5,Finals MVP,2021,
23,Most Improved Player,2021,
13,Most Valuable Player,2021,
78,Rookie of the Year,2021,
57,Sixth Man of the Year,2021,
3,Twyman-Stokes Teammate of the Year Award,2021,
5,All-Defensive,2022,1st
96,All-Defensive,2022,1st
98,All-Defensive,2022,1st
113,All-Defensive,2022,1st
120,All-Defensive,2022,1st
54,All-Defensive,2022,2nd
59,All-Defensive,2022,2nd
242,All-Defensive,2022,2nd
282,All-Defensive,2022,2nd
417,All-Defensive,2022,2nd
5,All-NBA,2022,1st
6,All-NBA,2022,1st
11,All-NBA,2022,1st
13,All-NBA,2022,1st
14,All-NBA,2022,1st
1,All-NBA,2022,2nd
4,All-NBA,2022,2nd
9,All-NBA,2022,2nd
32,All-NBA,2022,2nd
51,All-NBA,2022,2nd
15,All-NBA,2022,3rd
17,All-NBA,2022,3rd
19,All-NBA,2022,3rd
34,All-NBA,2022,3rd
71,All-NBA,2022,3rd
542,All-Rookie,2022,1st
543,All-Rookie,2022,1st
544,All-Rookie,2022,1st
545,All-Rookie,2022,1st
546,All-Rookie,2022,1st
547,All-Rookie,2022,2nd
549,All-Rookie,2022,2nd
555,All-Rookie,2022,2nd
559,All-Rookie,2022,2nd
561,All-Rookie,2022,2nd
1,All-Star MVP,2022,
704,Coach of the Year,2022,
120,Defensive Player of the Year,2022,
1,Finals MVP,2022,
51,Most Improved Player,2022,
13,Most Valuable Player,2022,
11,NBA Eastern Conference Finals MVP,2022,
1,NBA Western Conference Finals MVP,2022,
544,Rookie of the Year,2022,
87,Sixth Man of the Year,2022,
59,Twyman-Stokes Teammate of the Year Award,2022,
59,All-Defensive,2023,1st
96,All-Defensive,2023,1st
137,All-Defensive,2023,1st
315,All-Defensive,2023,1st
546,All-Defensive,2023,1st
54,All-Defensive,2023,2nd
64,All-Defensive,2023,2nd
77,All-Defensive,2023,2nd
84,All-Defensive,2023,2nd
282,All-Defensive,2023,2nd
4,All-NBA,2023,1st
5,All-NBA,2023,1st
6,All-NBA,2023,1st
11,All-NBA,2023,1st
25,All-NBA,2023,1st
1,All-NBA,2023,2nd
12,All-NBA,2023,2nd
13,All-NBA,2023,2nd
20,All-NBA,2023,2nd
33,All-NBA,2023,2nd
3,All-NBA,2023,3rd
16,All-NBA,2023,3rd
17,All-NBA,2023,3rd
23,All-NBA,2023,3rd
41,All-NBA,2023,3rd
696,All-Rookie,2023,1st
697,All-Rookie,2023,1st
700,All-Rookie,2023,1st
702,All-Rookie,2023,1st
710,All-Rookie,2023,1st
698,All-Rookie,2023,2nd
701,All-Rookie,2023,2nd
703,All-Rookie,2023,2nd
709,All-Rookie,2023,2nd
711,All-Rookie,2023,2nd
11,All-Star MVP,2023,
16,Clutch Player of the Year,2023,
853,Coach of the Year,2023,
96,Defensive Player of the Year,2023,
13,Finals MVP,2023,
108,Most Improved Player,2023,
4,Most Valuable Player,2023,
33,NBA Eastern Conference Finals MVP,2023,
13,NBA Western Conference Finals MVP,2023,
696,Rookie of the Year,2023,
36,Sixth Man of the Year,2023,
59,Twyman-Stokes Teammate of the Year Award,2023,
31,All-Defensive,2024,1st
54,All-Defensive,2024,1st
98,All-Defensive,2024,1st
559,All-Defensive,2024,1st
785,All-Defensive,2024,1st
59,All-Defensive,2024,2nd
84,All-Defensive,2024,2nd
295,All-Defensive,2024,2nd
315,All-Defensive,2024,2nd
550,All-Defensive,2024,2nd
5,All-NBA,2024,1st
6,All-NBA,2024,1st
11,All-NBA,2024,1st
13,All-NBA,2024,1st
25,All-NBA,2024,1st
9,All-NBA,2024,2nd
18,All-NBA,2024,2nd
31,All-NBA,2024,2nd
49,All-NBA,2024,2nd
132,All-NBA,2024,2nd
1,All-NBA,2024,3rd
14,All-NBA,2024,3rd
17,All-NBA,2024,3rd
41,All-NBA,2024,3rd
121,All-NBA,2024,3rd
785,All-Rookie,2024,1st
786,All-Rookie,2024,1st
787,All-Rookie,2024,1st
792,All-Rookie,2024,1st
794,All-Rookie,2024,1st
788,All-Rookie,2024,2nd
790,All-Rookie,2024,2nd
793,All-Rookie,2024,2nd
797,All-Rookie,2024,2nd
810,All-Rookie,2024,2nd
3,All-Star MVP,2024,
1,Clutch Player of the Year,2024,
98,Defensive Player of the Year,2024,
20,Finals MVP,2024,
243,Most Improved Player,2024,
13,Most Valuable Player,2024,
5,NBA Cup All-Tournament Team,2024,
9,NBA Cup All-Tournament Team,2024,
17,NBA Cup All-Tournament Team,2024,
31,NBA Cup All-Tournament Team,2024,
121,NBA Cup All-Tournament Team,2024,
17,NBA Cup MVP,2024,
20,NBA Eastern Conference Finals MVP,2024,
6,NBA Western Conference Finals MVP,2024,
785,Rookie of the Year,2024,
158,Sixth Man of the Year,2024,
74,Twyman-Stokes Teammate of the Year Award,2024,
