Player_ID,NAME,SALARY
1,Stephen Curry,"$48,070,014.00"
17,LeBron James,"$44,474,988.00"
9,Kevin Durant,"$44,119,845.00"
2,Bradley Beal,"$43,279,250.00"
5,Giannis Antetokounmpo,"$42,492,492.00"
3,Damian Lillard,"$42,492,492.00"
18,Kawhi Leonard,"$42,492,492.00"
27,Paul George,"$42,492,492.00"
541,Klay Thompson,"$40,600,080.00"
10,Kyrie Irving,"$38,917,057.00"
98,Rudy Gobert,"$38,172,414.00"
31,Anthony Davis,"$37,980,720.00"
40,Khris Middleton,"$37,948,276.00"
33,Jimmy Butler III,"$37,653,300.00"
48,Tobias Harris,"$37,633,050.00"
7,Zach LaVine,"$37,096,500.00"
6,Luka Doncic,"$37,095,000.00"
15,Trae Young,"$37,095,000.00"
99,Ben Simmons,"$35,448,672.00"
34,Pascal Siakam,"$35,448,672.00"
133,Myles Turner,"$35,096,500.00"
14,Devin Booker,"$33,833,400.00"
19,Karl-Anthony Towns,"$33,833,400.00"
43,Kristaps Porzingis,"$33,833,400.00"
59,Jrue Holiday,"$33,665,040.00"
4,Joel Embiid,"$33,616,770.00"
56,Andrew Wiggins,"$33,616,770.00"
28,CJ McCollum,"$33,333,333.00"
13,Nikola Jokic,"$33,047,804.00"
21,James Harden,"$33,000,000.00"
24,Brandon Ingram,"$31,650,600.00"
35,Jamal Murray,"$31,650,000.00"
53,D'Angelo Russell,"$31,377,750.00"
25,Shai Gilgeous-Alexander,"$30,913,750.00"
95,Deandre Ayton,"$30,913,750.00"
52,Michael Porter Jr.,"$30,913,750.00"
12,Donovan Mitchell,"$30,913,750.00"
54,Bam Adebayo,"$30,351,780.00"
45,Gordon Hayward,"$30,075,000.00"
96,Jaren Jackson Jr.,"$28,946,605.00"
20,Jaylen Brown,"$28,741,071.00"
71,Chris Paul,"$28,400,000.00"
63,Kyle Lowry,"$28,333,334.00"
16,De'Aaron Fox,"$28,103,550.00"
11,Jayson Tatum,"$28,103,500.00"
132,Jalen Brunson,"$27,733,332.00"
32,DeMar DeRozan,"$27,300,000.00"
101,Al Horford,"$26,500,000.00"
282,Draymond Green,"$25,806,468.00"
23,Julius Randle,"$23,760,000.00"
60,John Collins,"$23,500,000.00"
70,Buddy Hield,"$22,768,890.00"
74,Mike Conley,"$22,680,000.00"
36,Malcolm Brogdon,"$22,600,000.00"
248,Anfernee Simons,"$22,321,429.00"
26,Nikola Vucevic,"$22,000,000.00"
39,Terry Rozier,"$21,486,283.00"
46,Fred VanVleet,"$21,250,000.00"
29,Jerami Grant,"$20,955,000.00"
113,Mikal Bridges,"$20,100,000.00"
127,Jarrett Allen,"$20,000,000.00"
136,Aaron Gordon,"$19,690,909.00"
68,Tim Hardaway Jr.,"$19,602,273.00"
67,Bojan Bogdanovic,"$19,550,000.00"
93,Lonzo Ball,"$19,534,884.00"
303,Spencer Dinwiddie,"$19,500,000.00"
139,Eric Bledsoe,"$19,375,000.00"
42,Caris LeVert,"$18,796,296.00"
86,Clint Capela,"$18,706,896.00"
103,Joe Harris,"$18,642,857.00"
41,Domantas Sabonis,"$18,500,000.00"
75,Harrison Barnes,"$18,352,273.00"
65,Evan Fournier,"$18,000,000.00"
73,Bogdan Bogdanovic,"$18,000,000.00"
261,Steven Adams,"$17,926,829.00"
85,Gary Trent Jr.,"$17,505,000.00"
726,Jonathan Isaac,"$17,400,000.00"
77,OG Anunoby,"$17,357,143.00"
120,Marcus Smart,"$17,207,141.00"
234,Mitchell Robinson,"$17,045,454.00"
119,Duncan Robinson,"$16,902,000.00"
84,Derrick White,"$16,892,857.00"
55,Norman Powell,"$16,758,621.00"
79,Dejounte Murray,"$16,571,120.00"
22,Collin Sexton,"$16,500,000.00"
123,Markelle Fultz,"$16,500,000.00"
108,Lauri Markkanen,"$16,475,454.00"
115,Marcus Morris Sr.,"$16,372,093.00"
148,Davis Bertans,"$16,000,000.00"
150,Jusuf Nurkic,"$15,625,000.00"
47,Malik Beasley,"$15,558,035.00"
104,Luguentz Dort,"$15,277,778.00"
66,Jonas Valanciunas,"$14,700,000.00"
145,Kevin Huerter,"$14,508,929.00"
235,Luke Kennard,"$14,415,545.00"
37,Christian Wood,"$14,317,460.00"
157,Wendell Carter Jr.,"$14,150,000.00"
189,Kentavious Caldwell-Pope,"$14,004,703.00"
137,Brook Lopez,"$13,906,976.00"
109,Doug McDermott,"$13,750,000.00"
8,Zion Williamson,"$13,534,817.00"
57,Jordan Clarkson,"$13,340,000.00"
126,Kyle Kuzma,"$13,000,000.00"
186,Gary Harris,"$13,000,000.00"
204,Josh Hart,"$12,960,000.00"
187,Dorian Finney-Smith,"$12,939,648.00"
107,Chris Boucher,"$12,690,000.00"
82,Kelly Oubre Jr.,"$12,600,000.00"
102,Marvin Bagley III,"$12,500,000.00"
229,Robert Covington,"$12,307,692.00"
111,Kelly Olynyk,"$12,195,122.00"
141,Josh Richardson,"$11,615,328.00"
91,Devonte' Graham,"$11,550,000.00"
64,Dillon Brooks,"$11,400,000.00"
100,Richaun Holmes,"$11,215,260.00"
329,Dwight Powell,"$11,080,125.00"
696,Paolo Banchero,"$11,055,120.00"
242,Robert Williams III,"$10,937,502.00"
61,RJ Barrett,"$10,900,635.00"
241,Nicolas Batum,"$10,843,350.00"
151,Bobby Portis,"$10,843,350.00"
49,Anthony Edwards,"$10,733,400.00"
542,Cade Cunningham,"$10,552,800.00"
428,P.J. Tucker,"$10,490,000.00"
244,Mo Bamba,"$10,300,000.00"
213,Talen Horton-Tucker,"$10,260,000.00"
