Player_id,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
4,Joel Embiid,PHI,30,39,31,8,33.6,34.7,11.5,21.8,52.9,1.4,3.6,38.8,10.2,11.6,88.3,2.4,8.6,11,5.6,3.8,1.2,1.7,2.9,61.1,30,2,6.8
6,Luka Dončić,DAL,25,70,46,24,37.5,33.9,11.5,23.6,48.7,4.1,10.6,38.2,6.8,8.7,78.6,0.8,8.4,9.2,9.8,4,1.4,0.5,2.1,61.5,49,21,4.6
5,Giannis Antetokounmpo,MIL,29,73,45,28,35.2,30.4,11.5,18.8,61.1,0.5,1.7,27.4,7,10.7,65.7,2.7,8.8,11.5,6.5,3.4,1.2,1.1,2.9,57.4,57,10,4.6
25,Shai Gilgeous-Alexander,OKC,25,75,55,20,34,30.1,10.6,19.8,53.5,1.3,3.6,35.3,7.6,8.7,87.4,0.9,4.7,5.5,6.2,2.2,2,0.9,2.5,52.5,8,0,8.2
132,Jalen Brunson,NYK,27,77,49,28,35.4,28.7,10.3,21.4,47.9,2.7,6.8,40.1,5.5,6.5,84.7,0.6,3.1,3.6,6.7,2.4,0.9,0.2,1.9,44,9,0,6.6
9,Kevin Durant,PHX,35,75,44,31,37.2,27.1,10,19.1,52.3,2.2,5.4,41.3,4.8,5.6,85.6,0.5,6.1,6.6,5,3.3,0.9,1.2,1.8,45.7,14,1,3.9
14,Devin Booker,PHX,27,68,43,25,36,27.1,9.4,19.2,49.2,2.2,6.1,36.4,6,6.7,88.6,0.8,3.7,4.5,6.9,2.6,0.9,0.4,3,44.2,13,0,4.6
11,Jayson Tatum,BOS,26,74,57,17,35.7,26.9,9.1,19.3,47.1,3.1,8.2,37.6,5.6,6.7,83.3,0.9,7.2,8.1,4.9,2.5,1,0.6,2,46.2,25,0,8.2
12,Donovan Mitchell,CLE,27,55,36,19,35.3,26.6,9.1,19.8,46.2,3.3,9,36.8,5,5.8,86.5,0.8,4.3,5.1,6.1,2.8,1.8,0.5,2.1,46.1,6,0,5.9
16,De'Aaron Fox,SAC,26,74,42,32,35.9,26.6,9.7,20.9,46.5,2.9,7.8,36.9,4.2,5.7,73.8,0.9,3.7,4.6,5.6,2.6,2,0.4,2.6,45.3,6,0,3.1
1,Stephen Curry,GSW,36,74,43,31,32.7,26.4,8.8,19.5,45,4.8,11.8,40.8,4,4.4,92.3,0.5,4,4.5,5.1,2.8,0.7,0.4,1.6,40,7,0,2.6
13,Nikola Jokić,DEN,29,79,55,24,34.6,26.4,10.4,17.9,58.3,1.1,2.9,35.9,4.5,5.5,81.7,2.8,9.5,12.4,9,3,1.4,0.9,2.5,58.3,68,25,8.6
243,Tyrese Maxey,PHI,23,70,43,27,37.5,25.9,9.1,20.3,45,3,8.1,37.3,4.7,5.4,86.8,0.5,3.2,3.7,6.2,1.7,1,0.5,2.2,42.4,9,0,4.3
