player_id,node_id,node_idx,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63
1,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2785,106,0.41559058,0.0,0.2708192,0.0,0.271979,0.0,0.29175198,0.1504382,0.0,0.0,0.0,0.25343323,0.36636293,0.0,0.2109366,0.19945215,0.0,0.0,0.3094496,0.4125427,0.29552388,0.0,0.24873558,0.0,0.0,0.0,0.0,0.0,0.0,0.35088998,0.19424692,0.0,0.16874146,0.0,0.41128322,0.0,0.0,0.2100972,0.2870967,0.0,0.17674512,0.18550251,0.28904545,0.13766986,0.5343599,0.0,0.0,0.15850385,0.0,0.02973964,0.0,0.0,0.4188663,0.0,0.0,0.0,0.0,0.33777574,0.37021387,0.0,0.35967296,0.0,0.0,0.36438352
2,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2786,107,0.3612821,0.0,0.23830506,0.0,0.23915598,0.0,0.27340218,0.17810318,0.0,0.0,0.0,0.17366427,0.29934824,0.0,0.19158673,0.2059261,0.0,0.0,0.27279454,0.36567804,0.27290797,0.0,0.22334954,0.0,0.0,0.0,0.0,0.0,0.0,0.31364894,0.18935077,0.0,0.16555303,0.0,0.3441105,0.0,0.0,0.2066506,0.26695094,0.0,0.20822372,0.15150088,0.20333833,0.1566109,0.42229247,0.038170233,0.0,0.11953932,0.0,0.09553251,0.0,0.0,0.4383737,0.0,0.0,0.0,0.0,0.26626822,0.32433987,0.0,0.36847347,0.050595075,0.0,0.31506824
3,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2787,108,0.31284946,0.0,0.17076305,0.0,0.25279093,0.0,0.22557604,0.14500612,0.0,0.0,0.0,0.20618284,0.27944526,0.0,0.20255798,0.12580219,0.0,0.0,0.20956899,0.3230821,0.2266476,0.0,0.22752218,0.0,0.0,0.0,0.0,0.0,0.0,0.28315622,0.20422724,0.0,0.16191712,0.0,0.30035484,0.0,0.0,0.19552186,0.19884929,0.0,0.17286213,0.17444192,0.22460575,0.10178846,0.39989004,0.06282896,0.0,0.13741541,0.0,0.067865476,0.0,0.0,0.293068,0.0,0.0,0.0,0.0,0.2468369,0.27657905,0.0,0.31873825,0.053890377,0.0,0.32427907
4,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2788,109,0.3247469,0.0,0.21384785,0.0,0.22148976,0.0,0.35351783,0.13749902,0.0,0.0,0.0,0.15831785,0.32777596,0.0,0.19043478,0.14554407,0.0,0.0,0.24718523,0.36078233,0.26931867,0.0,0.18111937,0.0,0.0,0.0,0.0,0.0,0.0,0.2857302,0.21762887,0.0,0.17805636,0.0,0.3559928,0.0,0.0,0.1787825,0.2018441,0.0,0.18039495,0.15741591,0.24168363,0.15801653,0.4457125,0.04793711,0.0,0.10153188,0.0,0.098235436,0.0,0.0,0.47932327,0.0,0.0,0.0,0.0,0.2562921,0.3283187,0.0,0.33435172,0.051762626,0.0,0.31778848
5,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2789,110,0.4116597,0.0,0.22223838,0.0,0.3037768,0.0,0.25404963,0.10839155,0.0,0.0,0.0,0.2333987,0.30293754,0.0,0.20830558,0.116462156,0.0,0.0,0.20304096,0.4083078,0.25754476,0.0,0.2804255,0.0,0.0,0.0,0.0,0.0,0.0,0.35904866,0.13254026,0.0,0.1803985,0.0,0.39446914,0.0,0.0,0.21471208,0.20292842,0.0,0.093563415,0.14404316,0.22647205,0.11953726,0.44351637,0.0,0.0,0.04223079,0.0,0.08298889,0.0,0.0,0.31226826,0.0,0.0,0.0,0.0,0.29382747,0.25408033,0.0,0.34119374,0.050232157,0.0,0.27966848
6,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2790,111,0.24528283,0.0,0.14510095,0.0,0.145814,0.0,0.27544808,0.10955472,0.0,0.0,0.0,0.12770799,0.20694001,0.0,0.17110237,0.022329956,0.0,0.0,0.17261115,0.3174228,0.14401884,0.0,0.15672982,0.0,0.0,0.0,0.0,0.0,0.0,0.22029638,0.17653736,0.0,0.15227112,0.0,0.19732676,0.0,0.0,0.12283583,0.1490316,0.0,0.18503742,0.13486853,0.18220082,0.11307834,0.30151552,0.12762001,0.0,0.05547416,0.0,0.14026289,0.0,0.0,0.31144512,0.0,0.0,0.0,0.0,0.15382767,0.24710238,0.0,0.30799443,0.1287027,0.0,0.27668995
7,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2791,112,0.29341117,0.0,0.22175634,0.0,0.22185156,0.0,0.26159382,0.11266095,0.0,0.0,0.0,0.22947365,0.22790691,0.0,0.18668167,0.15292308,0.0,0.0,0.21386638,0.2752183,0.21308687,0.0,0.21489754,0.0,0.0,0.0,0.0,0.0,0.0,0.31061527,0.18854108,0.0,0.1631048,0.0,0.3034166,0.0,0.0,0.19372652,0.19584523,0.0,0.18516275,0.20796433,0.18065053,0.08211228,0.35085636,0.07790354,0.0,0.11287748,0.0,0.09753339,0.0,0.0,0.3491013,0.0,0.0,0.0,0.0,0.22477977,0.33677644,0.0,0.28230333,0.087597124,0.0,0.2684817
8,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2792,113,0.36053813,0.0,0.1859782,0.0,0.26974952,0.0,0.1947772,0.107808955,0.0,0.0,0.0,0.15416388,0.19914192,0.0,0.18378754,0.1646974,0.0,0.0,0.2512502,0.34492707,0.19783036,0.0,0.2126929,0.0,0.0,0.0,0.0,0.0,0.0,0.2799526,0.18660076,0.0,0.18785027,0.0,0.22625577,0.0,0.0,0.16849911,0.19597669,0.0,0.20056593,0.15720542,0.15830773,0.12722401,0.31199324,0.13006058,0.0,0.0976513,0.0,0.08366762,0.0,0.0,0.3230208,0.0,0.0,0.0,0.0,0.17985064,0.30803502,0.0,0.29387128,0.13587508,0.0,0.27266702
9,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2793,114,0.335974,0.0,0.2839364,0.0,0.2826711,0.0,0.27832067,0.17290741,0.0,0.0,0.0,0.21391936,0.31508976,0.0,0.19445312,0.21370351,0.0,0.0,0.29890108,0.36733773,0.25147206,0.0,0.27525648,0.0,0.0,0.0,0.0,0.0,0.0,0.3395355,0.20939428,0.0,0.15832639,0.0,0.3602031,0.0,0.0,0.21135953,0.30466992,0.0,0.21896122,0.1832315,0.23780084,0.09967922,0.39092296,0.03219971,0.0,0.2179667,0.0,0.07169923,0.0,0.0,0.3827713,0.0,0.0,0.0,0.0,0.30884767,0.33950505,0.0,0.36361787,0.023382038,0.0,0.31638038
10,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2794,115,0.41619498,0.0,0.22776073,0.0,0.26191276,0.0,0.25687328,0.18712652,0.0,0.0,0.0,0.25488678,0.32668245,0.0,0.24833971,0.30710828,0.0,0.0,0.25671756,0.32038575,0.26423016,0.0,0.29576796,0.0,0.0,0.0,0.0,0.0,0.0,0.33178204,0.17153524,0.0,0.18241344,0.0,0.35509112,0.0,0.0,0.20621347,0.21463159,0.0,0.18443884,0.22989558,0.2396416,0.10325178,0.46749738,0.0021850467,0.0,0.15046063,0.0,0.0,0.0,0.0,0.30256072,0.0,0.0,0.0,0.0,0.2878313,0.25210097,0.0,0.3809156,0.09270789,0.0,0.27926397
