player_id,node_id,node_idx,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63
1,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2785,106,0.10179774,0.10311043,0.31636393,0.0,0.0,0.26270643,0.41744167,0.0,0.0,0.0,0.0,0.34793076,0.27440816,0.10928454,0.226794,0.45909142,0.4906584,0.0,0.0,0.0,0.0,0.0,0.0,0.14278491,0.0,0.37542254,0.0,0.0,0.0,0.0,0.3571589,0.0,0.11018284,0.51711404,0.25534266,0.0,0.31612712,0.0,0.0,0.2820444,0.0,0.2260026,0.3697288,0.2967383,0.0,0.0,0.2543233,0.39173394,0.0,0.37342247,0.33215058,0.0,0.3407228,0.4372506,0.3571115,0.0,0.0,0.0,0.33198592,0.35646003,0.0,0.02093912,0.4358788,0.0
2,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2786,107,0.054958247,0.09569984,0.28407973,0.0,0.0,0.34735554,0.42625535,0.0,0.0,0.0,0.0,0.40465915,0.28842092,0.103200786,0.24442244,0.4931365,0.45935738,0.0,0.0,0.0,0.0,0.0,0.0,0.20827565,0.0,0.3567633,0.0,0.0,0.0,0.0,0.41278252,0.0,0.19613843,0.5705777,0.34222257,0.0,0.40704283,0.0,0.0,0.2848525,0.0,0.33084077,0.45537263,0.34979963,0.0,0.0,0.2461923,0.4571431,0.0,0.4353881,0.39900506,0.0,0.37402222,0.46163425,0.34225905,0.0,0.0,0.0,0.29193735,0.33704865,0.0,0.0,0.3774554,0.0
3,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2787,108,0.08126891,0.040967904,0.28248513,0.0,0.0,0.3056839,0.42224514,0.08627249,0.0,0.0,0.0,0.36012346,0.29134196,0.09738325,0.30410185,0.41196465,0.4125212,0.0,0.0,0.0,0.0,0.0,0.0,0.2030904,0.0,0.38760284,0.0,0.0,0.0,0.0,0.4308674,0.0,0.17932928,0.52773005,0.22198787,0.0,0.39344347,0.0,0.0,0.25542605,0.0,0.1641465,0.41643572,0.29974437,0.0,0.0,0.1834645,0.38950402,0.0,0.3087848,0.29668376,0.0,0.3000633,0.4030609,0.32460096,0.0,0.0,0.0,0.2849054,0.3036047,0.0,0.0,0.45013607,0.0
4,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2788,109,0.048416957,0.0,0.27123058,0.0,0.0,0.29805034,0.37011278,0.059154205,0.0,0.0,0.0,0.36266145,0.2851705,0.11235533,0.29354975,0.33931583,0.42345378,0.0,0.0,0.0,0.0,0.0,0.0,0.16183615,0.0,0.4308055,0.0,0.0,0.0,0.0,0.4201707,0.0,0.20451556,0.46891344,0.2436851,0.0,0.41964185,0.0,0.0,0.28094742,0.0,0.24458383,0.45685956,0.31850204,0.0,0.0,0.19532667,0.3720092,0.0,0.33609292,0.31159055,0.0,0.31496838,0.41587025,0.29895452,0.0,0.0,0.0,0.2536827,0.28289157,0.0,0.0,0.43435192,0.0
5,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2789,110,0.065831624,0.018357322,0.22998622,0.0,0.0,0.22942732,0.34360528,0.013279319,0.0,0.0,0.0,0.27017444,0.18681322,0.20032749,0.14732337,0.26726437,0.40044186,0.0,0.0,0.0,0.0,0.0,0.0,0.17920017,0.0,0.26782033,0.0,0.0,0.0,0.0,0.24682698,0.0,0.16402078,0.376262,0.22921509,0.0,0.33403707,0.0,0.0,0.16209918,0.0,0.19505683,0.3835598,0.2025823,0.0,0.0,0.23490907,0.24174011,0.0,0.2796762,0.3430407,0.0,0.24020937,0.317617,0.21779057,0.0,0.0,0.0,0.25796026,0.19649358,0.0,0.0,0.26771802,0.0
6,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2790,111,0.077913806,0.046804585,0.23601893,0.0,0.0,0.24452339,0.22839008,0.08399073,0.0,0.0,0.0,0.2549425,0.20271811,0.09863648,0.18668252,0.24829757,0.25682044,0.0,0.0,0.0,0.0,0.0,0.0,0.12988791,0.071204625,0.3118531,0.0,0.0,0.0,0.0,0.29036278,0.0,0.2063573,0.4020919,0.23193932,0.0,0.31680694,0.0,0.0,0.17846099,0.0,0.16840816,0.34754026,0.22892661,0.0,0.0,0.1467574,0.2868672,0.0,0.2516449,0.23672616,0.0,0.22067502,0.2704829,0.18576875,0.0,0.0,0.0,0.23282811,0.25586352,0.0,0.0,0.29734612,0.0
7,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2791,112,0.08527124,0.07285523,0.26127493,0.0,0.0,0.23155092,0.35844526,0.01518967,0.0,0.0,0.0,0.26727536,0.21108976,0.17357767,0.18421,0.30947292,0.3749565,0.0,0.0,0.0,0.0,0.0,0.0,0.17565572,0.0,0.32167286,0.0,0.0,0.0,0.0,0.32632118,0.0,0.14601341,0.40024284,0.2519202,0.0,0.32608128,0.0,0.0,0.19215724,0.0,0.22968037,0.36612716,0.23276624,0.0,0.0,0.18509515,0.32283688,0.0,0.2792939,0.320464,0.0,0.29851514,0.34935582,0.2785263,0.0,0.0,0.0,0.24506974,0.25852126,0.0,0.030510768,0.3442163,0.0
8,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2792,113,0.10947691,0.17165384,0.1967272,0.0,0.0,0.21007617,0.18228966,0.07006278,0.0,0.0,0.0,0.1908791,0.23674053,0.123252794,0.16303551,0.20852144,0.21638234,0.0,0.0,0.0,0.0,0.0,0.056563452,0.08699094,0.05499948,0.22863173,0.0,0.0,0.0,0.0,0.27343702,0.0,0.11409359,0.2268635,0.19553143,0.0,0.16943449,0.0,0.0,0.15937947,0.0,0.10215059,0.27321798,0.19121245,0.0,0.0,0.20024385,0.22042578,0.0,0.2048388,0.16137707,0.0,0.18866912,0.22723539,0.17904024,0.0,0.0,0.0,0.1947715,0.2532813,0.0,0.07654497,0.21347745,0.0
9,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2793,114,0.10615121,0.11503782,0.2939847,0.0,0.0,0.22575946,0.31617886,0.043109,0.0,0.0,0.0,0.30827528,0.23258975,0.122957945,0.19728082,0.2976771,0.32847312,0.0,0.0,0.0,0.0,0.0,0.0,0.09440967,0.011648886,0.35376075,0.0,0.0,0.0,0.0,0.32491037,0.0,0.18215623,0.42067552,0.18669036,0.0,0.24329755,0.0,0.0,0.2831142,0.0,0.2088852,0.31343988,0.2811738,0.0,0.0,0.16449301,0.30381095,0.0,0.32669336,0.27809694,0.0,0.23724619,0.32788947,0.30037385,0.0,0.0,0.0,0.26221633,0.31919187,0.0,0.0,0.37180805,0.0
10,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2794,115,0.08589459,0.14924109,0.27431625,0.0,0.0,0.22243349,0.32874373,0.019006178,0.0,0.0,0.0,0.23990855,0.2216146,0.045448765,0.2456818,0.3672077,0.33098817,0.0,0.0,0.0,0.0,0.0,0.0199413,0.15278366,0.012493681,0.32071307,0.0,0.0,0.0,0.0,0.35457125,0.0,0.11129053,0.49500918,0.23529774,0.0,0.21103707,0.0,0.0,0.2613781,0.0,0.13475217,0.2577514,0.16328412,0.0,0.0,0.14167726,0.36582297,0.0,0.2607218,0.21950051,0.0,0.27450687,0.38296163,0.2928475,0.0,0.0,0.0,0.3002825,0.30320805,0.0,0.04741138,0.36432105,0.0
