node_id,node_idx,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:0,0,-0.19759953022003174,-0.6004793047904968,1.8008627891540527,0.191446915268898,-0.08132027089595795,-0.5544741749763489,-0.49317967891693115,2.9355149269104004,1.7454609870910645,0.06152115762233734,-0.5727909207344055,-0.45403221249580383,-0.5614413619041443,-0.5256863832473755,-0.5365008115768433,-0.4956856369972229,-0.04614701867103577,0.09246663749217987,-0.5635261535644531,-0.5745503902435303,-0.5533010959625244,-0.5940598249435425,-0.06154130399227142,-0.548281192779541,-0.5567089319229126,-0.5658901929855347,-0.05672883987426758,-0.5206749439239502,-0.5256332159042358,-0.5689902305603027,-0.10568195581436157,-0.580012857913971,-0.1609026938676834,2.673781633377075,-0.5292415618896484,0.014257237315177917,-0.390725702047348,-0.015063568949699402,-0.5464836359024048,-0.5788748264312744,-0.3955952823162079,-0.6054385304450989,-0.572644054889679,-0.3002411127090454,-0.057616814970970154,0.16585761308670044,-0.4085733890533447,-0.5727721452713013,-0.4315914511680603,-0.5602617263793945,-0.5537818670272827,-0.2473565936088562,-0.5703459978103638,0.07135280221700668,0.3071776032447815,0.17606379091739655,-0.5592079162597656,3.5103609561920166,0.19662140309810638,4.64909029006958,0.11656220257282257,-0.4599758982658386,-0.5739455223083496,-0.5733736753463745
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1,1,-0.2023923397064209,-0.6054490804672241,1.8255388736724854,0.1783054918050766,-0.058507829904556274,-0.5593247413635254,-0.4977848529815674,3.0906410217285156,1.7173417806625366,0.06368771195411682,-0.5776757001876831,-0.4585297405719757,-0.5662994980812073,-0.5303878784179688,-0.5412952899932861,-0.5003401041030884,-0.03176872432231903,0.10807834565639496,-0.5684059262275696,-0.5793963074684143,-0.5579627752304077,-0.5988208651542664,-0.06249241530895233,-0.553088366985321,-0.5615168213844299,-0.5705673694610596,0.048973485827445984,-0.5253340601921082,-0.5302974581718445,-0.573835015296936,0.06511761248111725,-0.5848971009254456,-0.16572432219982147,2.519223213195801,-0.5339335203170776,0.14787817001342773,-0.39500686526298523,-0.02734886109828949,-0.5512291193008423,-0.5837756395339966,-0.4006357192993164,-0.6104072332382202,-0.5775558352470398,-0.3044596016407013,-0.017604529857635498,0.019368112087249756,-0.412930428981781,-0.5775905847549438,-0.43604928255081177,-0.5651295781135559,-0.5582947731018066,-0.2525087296962738,-0.57524573802948,-0.008050397038459778,0.29390642046928406,0.09854687005281448,-0.5640705227851868,3.5692138671875,0.22456009685993195,4.58398962020874,0.11687350273132324,-0.46453890204429626,-0.578846275806427,-0.5781822204589844
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:10,2,-0.1766519546508789,-0.5787582993507385,1.645593523979187,0.11830314993858337,0.012674927711486816,-0.5332739949226379,-0.47305208444595337,2.8968915939331055,1.6049442291259766,-0.061754435300827026,-0.5514413714408875,-0.4343751072883606,-0.5402083992958069,-0.5051376819610596,-0.515545666217804,-0.4753425717353821,-0.14320650696754456,0.059794917702674866,-0.5421984195709229,-0.553370475769043,-0.532926619052887,-0.5732508897781372,-0.10157717764377594,-0.5272709727287292,-0.535695493221283,-0.5454480648040771,0.06074380874633789,-0.5003116130828857,-0.5052474141120911,-0.547815203666687,-0.11662939190864563,-0.5586656332015991,-0.1398291140794754,2.7597978115081787,-0.5087345242500305,0.02547287940979004,-0.37201425433158875,-0.065553218126297,-0.5257430076599121,-0.55745530128479,-0.37356531620025635,-0.5837220549583435,-0.5511766076087952,-0.2818036377429962,-0.055806949734687805,-0.024228990077972412,-0.3895304203033447,-0.5517126321792603,-0.4121079444885254,-0.5389862656593323,-0.5340579152107239,-0.2248384952545166,-0.548931360244751,-0.008822202682495117,0.24408836662769318,0.0613117516040802,-0.5379554629325867,3.587987184524536,0.13152700662612915,4.709163188934326,0.08013613522052765,-0.4400327205657959,-0.5525259971618652,-0.5523573160171509
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:100,3,-0.22321701049804688,-0.6270426511764526,2.1867058277130127,0.2565440535545349,-0.012431040406227112,-0.5804005265235901,-0.5177943706512451,2.9440250396728516,1.7419883012771606,0.16529393196105957,-0.5988999605178833,-0.47807154059410095,-0.5874078869819641,-0.5508160591125488,-0.5621274709701538,-0.5205638408660889,-0.022601068019866943,0.06018845736980438,-0.5896085500717163,-0.6004519462585449,-0.5782176852226257,-0.6195076704025269,0.02236291766166687,-0.5739753246307373,-0.5824069976806641,-0.5908896327018738,-0.0584622323513031,-0.545577883720398,-0.550563633441925,-0.5948858261108398,0.06870093941688538,-0.6061190366744995,-0.18667425215244293,2.5830163955688477,-0.554320216178894,0.14737728238105774,-0.41360852122306824,0.14552004635334015,-0.5718480348587036,-0.6050695180892944,-0.4225364327430725,-0.6319962739944458,-0.5988973379135132,-0.32278892397880554,0.0688183456659317,0.16174127161502838,-0.4318616986274719,-0.5985265374183655,-0.4554184675216675,-0.5862802267074585,-0.5779030323028564,-0.27489471435546875,-0.5965347290039062,0.13606247305870056,0.1343439519405365,0.166637122631073,-0.5851983428001404,3.51651930809021,0.27281641960144043,4.482855796813965,0.14704951643943787,-0.4843651056289673,-0.6001400947570801,-0.5990753173828125
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1000,4,-0.26557981967926025,-0.6709696054458618,2.597968339920044,0.2387521117925644,0.09231948107481003,-0.6232740879058838,-0.5584989190101624,2.9086382389068604,1.8675888776779175,0.3324742913246155,-0.6420755982398987,-0.5178245902061462,-0.6303478479385376,-0.5923721790313721,-0.6045055389404297,-0.5617040395736694,0.11751635372638702,0.0671299397945404,-0.6327401399612427,-0.6432845592498779,-0.6194215416908264,-0.6615899801254272,0.07102367281913757,-0.6164649128913879,-0.6249030828475952,-0.6322303414344788,-0.034747108817100525,-0.586759090423584,-0.5917903184890747,-0.6377085447311401,0.1578773558139801,-0.6492899656295776,-0.22929184138774872,2.5469837188720703,-0.5957920551300049,0.3842735290527344,-0.4514491558074951,0.11999502778053284,-0.6137922406196594,-0.6483867168426514,-0.46708816289901733,-0.6759140491485596,-0.6423115730285645,-0.3600755035877228,0.24449241161346436,0.3998810648918152,-0.47037285566329956,-0.6411157250404358,-0.4948204457759857,-0.6293061375617981,-0.6177912950515747,-0.3204336166381836,-0.63984215259552,0.12868711352348328,0.06914733350276947,0.29760289192199707,-0.6281777620315552,3.3577988147735596,0.37339329719543457,4.229717254638672,0.4766630530357361,-0.5246967077255249,-0.643457293510437,-0.6415772438049316
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1001,5,-0.21911385655403137,-0.6227880120277405,2.0638976097106934,0.004814967513084412,0.08998649567365646,-0.5762478709220886,-0.5138518214225769,2.9900262355804443,1.651968240737915,0.10441974550485611,-0.5947180390357971,-0.4742211699485779,-0.5832488536834717,-0.5467910170555115,-0.5580228567123413,-0.5165790915489197,0.1430647224187851,0.13284243643283844,-0.585430920124054,-0.5963032841682434,-0.5742267966270447,-0.6154316663742065,0.06039176881313324,-0.5698599219322205,-0.5782909393310547,-0.5868854522705078,0.254935622215271,-0.5415891408920288,-0.5465705394744873,-0.5907381176948547,0.059563636779785156,-0.6019375920295715,-0.18254642188549042,2.5975520610809326,-0.5503033995628357,0.13705138862133026,-0.4099434018135071,0.06691887974739075,-0.567785382270813,-0.6008738875389099,-0.41822126507759094,-0.6277425289154053,-0.5946923494338989,-0.31917744874954224,0.08634725958108902,0.07980392873287201,-0.428131639957428,-0.594401478767395,-0.45160210132598877,-0.5821128487586975,-0.5740395784378052,-0.27048394083976746,-0.5923401117324829,0.044638022780418396,0.1827148199081421,-0.037441328167915344,-0.5810354351997375,3.7358944416046143,0.053250811994075775,4.366112232208252,0.24680882692337036,-0.48045867681503296,-0.5959445238113403,-0.5949586629867554
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1002,6,-0.2281109094619751,-0.6321172714233398,2.1450259685516357,0.00919310748577118,0.028230562806129456,-0.585353434085846,-0.5224967002868652,3.1481480598449707,1.7683366537094116,0.13169750571250916,-0.6038877367973328,-0.48266395926475525,-0.5923684239387512,-0.5556167364120483,-0.5670231580734253,-0.5253164768218994,0.10817278921604156,0.17383700609207153,-0.5945912599563599,-0.6054000854492188,-0.5829777121543884,-0.6243691444396973,-0.0220019668340683,-0.5788838863372803,-0.5873163342475891,-0.595665454864502,0.39840638637542725,-0.5503352880477905,-0.5553262829780579,-0.5998328328132629,-0.0008493810892105103,-0.611106276512146,-0.1915975660085678,2.4975697994232178,-0.5591111779212952,0.21058368682861328,-0.41798001527786255,0.12721163034439087,-0.5766935348510742,-0.6100736856460571,-0.4276832044124603,-0.637069821357727,-0.6039127111434937,-0.3270964026451111,0.2413785755634308,0.05022040009498596,-0.43631064891815186,-0.6034466028213501,-0.4599703252315521,-0.5912507176399231,-0.5825110673904419,-0.2801555097103119,-0.6015377044677734,-0.027346521615982056,0.2453499585390091,-0.0909653902053833,-0.5901634693145752,3.7403225898742676,0.04785238206386566,4.173430919647217,0.36497342586517334,-0.4890243411064148,-0.6051442623138428,-0.6039853096008301
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1003,7,-0.2186053991317749,-0.6222608089447021,2.065289258956909,0.0027950406074523926,0.06277799606323242,-0.5757333040237427,-0.5133633017539978,3.0855934619903564,1.7557462453842163,0.1199101060628891,-0.5941998362541199,-0.4737440347671509,-0.5827334523200989,-0.546292245388031,-0.5575141906738281,-0.5160852670669556,0.14457270503044128,0.14252355694770813,-0.5849132537841797,-0.5957891941070557,-0.5737322568893433,-0.6149265766143799,-0.0006150305271148682,-0.5693499445915222,-0.5777809023857117,-0.5863893032073975,0.41125863790512085,-0.5410948991775513,-0.546075701713562,-0.5902241468429565,0.05639304220676422,-0.6014194488525391,-0.18203489482402802,2.5483927726745605,-0.5498056411743164,0.12164183706045151,-0.4094892144203186,0.12601403892040253,-0.56728196144104,-0.6003539562225342,-0.4176865220069885,-0.6272154450416565,-0.5941712856292725,-0.3187299072742462,0.11482032388448715,0.032135188579559326,-0.4276694059371948,-0.5938903093338013,-0.4511291980743408,-0.5815964341163635,-0.5735607743263245,-0.2699373662471771,-0.591820240020752,-0.054435357451438904,0.22683066129684448,-0.117878258228302,-0.5805195569992065,3.7596116065979004,-0.06325213611125946,4.248034477233887,0.29099470376968384,-0.4799745976924896,-0.5954245924949646,-0.5944485664367676
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1004,8,-0.20730483531951904,-0.6105429530143738,1.9359039068222046,0.020447328686714172,0.0448438823223114,-0.5642964839935303,-0.5025050640106201,2.972456932067871,1.5407849550247192,0.06096605956554413,-0.5826824307441711,-0.4631396234035492,-0.5712789297103882,-0.5352068543434143,-0.5462095737457275,-0.5051108598709106,0.06869256496429443,0.053836703300476074,-0.5734075903892517,-0.5843632817268372,-0.5627408623695374,-0.6037008762359619,-0.017080381512641907,-0.5580155849456787,-0.5664448142051697,-0.5753613710403442,0.2198145091533661,-0.5301095247268677,-0.535078227519989,-0.5788009166717529,-0.022943496704101562,-0.5899032950401306,-0.17066635191440582,2.642835855484009,-0.53874272108078,0.16943740844726562,-0.3993949592113495,0.11597020924091339,-0.5560930371284485,-0.5887988209724426,-0.40580207109451294,-0.6155000329017639,-0.5825902223587036,-0.30878347158432007,0.06171225756406784,0.14373080432415009,-0.41739630699157715,-0.5825293064117432,-0.4406184256076813,-0.5701189637184143,-0.562920331954956,-0.2577895522117615,-0.5802677273750305,0.04382624477148056,0.15351946651935577,-0.07257834076881409,-0.5690545439720154,3.7108521461486816,0.048126399517059326,4.491277694702148,0.25446560978889465,-0.46921586990356445,-0.583869457244873,-0.5831108689308167
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1005,9,-0.23532673716545105,-0.6395995020866394,2.2238097190856934,0.10868841409683228,0.034110382199287415,-0.5926562547683716,-0.529430091381073,3.09869122505188,1.7685742378234863,0.15081770718097687,-0.6112420558929443,-0.48943525552749634,-0.5996825695037842,-0.5626951456069946,-0.574241578578949,-0.5323240756988525,0.09160375595092773,0.1336941421031952,-0.601938009262085,-0.6126959919929504,-0.5899960994720459,-0.6315371990203857,0.04736493527889252,-0.5861213207244873,-0.5945548415184021,-0.6027072072029114,0.22305142879486084,-0.5573498606681824,-0.5623486042022705,-0.6071270108222961,0.03978416323661804,-0.6184597611427307,-0.19885681569576263,2.518812894821167,-0.5661752820014954,0.2073839157819748,-0.42442557215690613,0.06570422649383545,-0.5838381052017212,-0.6174520254135132,-0.43527188897132874,-0.6445505619049072,-0.611307680606842,-0.33344757556915283,0.18356183171272278,0.20915213227272034,-0.4428703784942627,-0.6107009649276733,-0.4666818380355835,-0.5985795259475708,-0.5893054008483887,-0.28791236877441406,-0.6089144945144653,0.024034246802330017,0.26333189010620117,0.03233391046524048,-0.5974843502044678,3.596165180206299,0.09136557579040527,4.2829413414001465,0.3805144727230072,-0.495894193649292,-0.6125226616859436,-0.6112247705459595
