,importance
FP,8.148941040039062
Min,5.220056056976318
Age,3.2411370277404785
PTS_per_gp,2.0640180110931396
PTS_per_min,1.9447306394577026
log1p_3PM,1.6666016578674316
FTA,1.579135537147522
TOV,1.5409529209136963
log1p_PF,1.4714012145996094
OREB_per_min,1.42898690700531
