Player_id,season,salary_usd,log_salary,salary_cap,salary_cap_ratio,log_salary_cap_ratio,salary_cap_equiv,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,PTS_per_min,REB_per_min,AST_per_min,STL_per_min,BLK_per_min,TOV_per_min,FGA_per_min,FGM_per_min,3PA_per_min,3PM_per_min,FTA_per_min,FTM_per_min,OREB_per_min,DREB_per_min,PF_per_min,PTS_per_gp,REB_per_gp,AST_per_gp,STL_per_gp,BLK_per_gp,TOV_per_gp,FGA_per_gp,FGM_per_gp,3PA_per_gp,3PM_per_gp,FTA_per_gp,FTM_per_gp,OREB_per_gp,DREB_per_gp,PF_per_gp,eFG%_calc,TS%_calc,AST_TO_ratio,OREB_share,DREB_share,log1p_PTS,log1p_REB,log1p_AST,log1p_STL,log1p_BLK,log1p_TOV,log1p_FGA,log1p_FGM,log1p_3PA,log1p_3PM,log1p_FTA,log1p_FTM,log1p_OREB,log1p_DREB,log1p_PF,log1p_Min,log1p_PTS_per_min,log1p_REB_per_min,log1p_AST_per_min,log1p_TOV_per_min
1,2020,43006362.0,17.576858639454546,109140000.0,0.39404766355140186,0.33221150368450575,55398372.92336448,33,63,37,26,34.2,32.0,10.4,21.7,48.2,5.3,12.7,42.1,5.7,6.3,91.6,0.5,5.0,5.5,5.8,3.4,1.2,0.1,1.9,47.9,8,0,3.9,0.935672514619883,0.1608187134502924,0.1695906432748538,0.03508771929824561,0.0029239766081871343,0.09941520467836257,0.6345029239766081,0.30409356725146197,0.37134502923976603,0.15497076023391812,0.18421052631578946,0.16666666666666666,0.014619883040935672,0.14619883040935672,0.055555555555555546,0.5079365079365079,0.0873015873015873,0.09206349206349206,0.019047619047619046,0.0015873015873015873,0.053968253968253964,0.34444444444444444,0.16507936507936508,0.20158730158730157,0.08412698412698412,0.09999999999999999,0.09047619047619047,0.007936507936507936,0.07936507936507936,0.030158730158730156,0.6013824884792627,0.6538084341288003,1.7058823529411764,0.09090909090909091,0.9090909090909091,3.4965075614664802,1.8718021769015913,1.916922612182061,0.7884573603642702,0.09531017980432487,1.4816045409242156,3.122364924487357,2.4336133554004498,2.617395832834079,1.840549633397487,1.9878743481543455,1.9021075263969205,0.4054651081081644,1.791759469228055,1.0647107369924282,3.5610460826040513,0.660454818874403,0.14912554362458527,0.15665381004537685,0.09477840632728936
2,2020,28751775.0,17.174210097212747,109140000.0,0.2634393897746014,0.2338376765923054,37036416.929631665,28,60,32,28,35.8,31.3,11.2,23.0,48.5,2.2,6.2,34.9,6.8,7.7,88.9,1.2,3.5,4.7,4.4,3.1,1.2,0.4,2.3,45.0,4,0,-0.1,0.8743016759776537,0.13128491620111735,0.12290502793296092,0.0335195530726257,0.011173184357541902,0.08659217877094973,0.6424581005586593,0.3128491620111732,0.17318435754189945,0.06145251396648046,0.2150837988826816,0.1899441340782123,0.0335195530726257,0.09776536312849163,0.06424581005586592,0.5216666666666667,0.07833333333333334,0.07333333333333333,0.02,0.006666666666666667,0.051666666666666666,0.38333333333333336,0.18666666666666665,0.10333333333333333,0.03666666666666667,0.12833333333333333,0.11333333333333333,0.02,0.058333333333333334,0.03833333333333333,0.5347826086956521,0.5930726087615583,1.4193548387096775,0.2553191489361702,0.7446808510638298,3.475067230228611,1.7404661748405046,1.6863989535702288,0.7884573603642702,0.33647223662121295,1.410986973710262,3.1780538303479458,2.501435951739211,1.9740810260220096,1.1631508098056809,2.163323025660538,2.0541237336955462,0.7884573603642702,1.5040773967762742,1.1939224684724346,3.6054978451748854,0.6282361505709815,0.12335408070583885,0.11591910221832077,0.083046357217746
3,2020,31626953.0,17.269520289664513,109140000.0,0.28978333333333334,0.2544742456106153,40740059.266666666,30,67,39,28,35.8,28.8,9.0,19.9,45.1,4.1,10.5,39.1,6.7,7.2,92.8,0.5,3.7,4.2,7.5,3.0,0.9,0.3,1.5,45.7,16,0,3.0,0.8044692737430168,0.11731843575418996,0.20949720670391064,0.025139664804469275,0.008379888268156424,0.08379888268156425,0.5558659217877095,0.25139664804469275,0.29329608938547486,0.11452513966480447,0.2011173184357542,0.18715083798882684,0.013966480446927375,0.10335195530726259,0.04189944134078213,0.4298507462686567,0.06268656716417911,0.11194029850746269,0.013432835820895522,0.004477611940298508,0.04477611940298507,0.2970149253731343,0.13432835820895522,0.15671641791044777,0.06119402985074626,0.10746268656716418,0.1,0.007462686567164179,0.05522388059701493,0.022388059701492536,0.5552763819095479,0.6242413733310214,2.5,0.11904761904761904,0.8809523809523809,3.3945083935113587,1.6486586255873816,2.1400661634962708,0.6418538861723948,0.262364264467491,1.3862943611198906,3.039749158970765,2.302585092994046,2.4423470353692043,1.62924053973028,2.1041341542702074,2.0412203288596382,0.4054651081081644,1.547562508716013,0.9162907318741551,3.6054978451748854,0.5902665173819016,0.11093156070728169,0.19020474160178955,0.08047235322257314
4,2020,29542010.0,17.20132390993384,109140000.0,0.2706799523547737,0.23955215275237593,38054353.14165293,27,51,39,12,31.1,28.5,9.0,17.6,51.3,1.1,3.0,37.7,9.2,10.7,85.9,2.2,8.4,10.6,2.8,3.1,1.0,1.4,2.4,49.3,31,0,7.9,0.9163987138263665,0.3408360128617363,0.090032154340836,0.03215434083601286,0.045016077170418,0.09967845659163987,0.5659163987138264,0.28938906752411575,0.09646302250803858,0.03536977491961415,0.34405144694533757,0.2958199356913183,0.0707395498392283,0.27009646302250806,0.07717041800643086,0.5588235294117647,0.20784313725490194,0.054901960784313725,0.0196078431372549,0.027450980392156862,0.060784313725490195,0.3450980392156863,0.17647058823529413,0.058823529411764705,0.021568627450980395,0.20980392156862743,0.1803921568627451,0.04313725490196079,0.16470588235294117,0.047058823529411764,0.5426136363636364,0.6387842926304464,0.9032258064516128,0.2075471698113208,0.7924528301886793,3.3843902633457743,2.451005098112319,1.33500106673234,0.6931471805599453,0.8754687373538999,1.410986973710262,2.9231615807191558,2.302585092994046,1.3862943611198906,0.7419373447293773,2.4595888418037104,2.322387720290225,1.1631508098056809,2.2407096892759584,1.2237754316221157,3.4688560301359703,0.6504477548861156,0.2932933096195673,0.08620719520121611,0.09501782488337103
5,2020,27528090.0,17.13071753217907,109140000.0,0.2522273227047829,0.22492382385207235,35460134.844420016,26,61,40,21,33.0,28.1,10.3,18.0,56.9,1.1,3.6,30.3,6.5,9.5,68.5,1.6,9.4,11.0,5.9,3.4,1.2,1.2,2.8,53.9,41,7,6.7,0.8515151515151516,0.3333333333333333,0.1787878787878788,0.03636363636363636,0.03636363636363636,0.10303030303030303,0.5454545454545454,0.31212121212121213,0.1090909090909091,0.03333333333333333,0.2878787878787879,0.19696969696969696,0.048484848484848485,0.28484848484848485,0.08484848484848484,0.4606557377049181,0.18032786885245902,0.09672131147540984,0.019672131147540982,0.019672131147540982,0.05573770491803279,0.29508196721311475,0.16885245901639345,0.05901639344262295,0.018032786885245903,0.1557377049180328,0.10655737704918032,0.02622950819672131,0.1540983606557377,0.04590163934426229,0.6027777777777779,0.633453561767358,1.7352941176470589,0.14545454545454548,0.8545454545454546,3.370738174177447,2.4849066497880004,1.9315214116032138,0.7884573603642702,0.7884573603642702,1.4816045409242156,2.9444389791664403,2.424802725718295,1.5260563034950492,0.7419373447293773,2.3513752571634776,2.0149030205422647,0.9555114450274363,2.341805806147327,1.33500106673234,3.5263605246161616,0.6160043047110694,0.2876820724517809,0.1644866891579204,0.09806121317621473
6,2020,8049360.0,15.901103267362089,109140000.0,0.0737526113249038,0.0711596262806852,10368732.120945575,22,66,40,26,34.3,27.7,9.8,20.5,47.9,2.9,8.3,35.0,5.2,7.1,73.0,0.8,7.2,8.0,8.6,4.3,1.0,0.5,2.3,50.5,26,11,2.5,0.8075801749271138,0.23323615160349856,0.25072886297376096,0.02915451895043732,0.01457725947521866,0.12536443148688048,0.5976676384839651,0.28571428571428575,0.24198250728862977,0.08454810495626823,0.20699708454810498,0.15160349854227406,0.023323615160349857,0.20991253644314872,0.06705539358600583,0.4196969696969697,0.12121212121212122,0.1303030303030303,0.015151515151515152,0.007575757575757576,0.06515151515151515,0.3106060606060606,0.1484848484848485,0.12575757575757576,0.04393939393939394,0.10757575757575757,0.0787878787878788,0.012121212121212121,0.1090909090909091,0.034848484848484844,0.5487804878048781,0.5862682018286488,2.0,0.1,0.9,3.3568971227655755,2.1972245773362196,2.2617630984737906,0.6931471805599453,0.4054651081081644,1.667706820558076,3.068052935133617,2.379546134130174,2.2300144001592104,1.3609765531356006,2.0918640616783932,1.824549292051046,0.5877866649021191,2.1041341542702074,1.1939224684724346,3.563882963939251,0.5919890308731973,0.20964173188033808,0.22372647176207708,0.11810692229889096
7,2020,19500000.0,16.785925074816024,109140000.0,0.17866959868059373,0.16438634367257035,25118801.53930731,26,58,26,32,35.1,27.4,9.8,19.4,50.7,3.4,8.2,41.9,4.4,5.1,84.9,0.6,4.4,5.0,4.9,3.5,0.8,0.5,2.4,41.0,3,0,-0.2,0.7806267806267806,0.14245014245014245,0.1396011396011396,0.022792022792022793,0.014245014245014245,0.09971509971509972,0.5527065527065527,0.2792022792022792,0.23361823361823358,0.09686609686609686,0.14529914529914528,0.12535612535612536,0.017094017094017092,0.12535612535612536,0.06837606837606837,0.4724137931034483,0.08620689655172414,0.08448275862068966,0.013793103448275864,0.008620689655172414,0.0603448275862069,0.33448275862068966,0.16896551724137931,0.14137931034482756,0.05862068965517241,0.08793103448275862,0.07586206896551725,0.010344827586206896,0.07586206896551725,0.041379310344827586,0.5927835051546392,0.6329698761781556,1.4000000000000001,0.12,0.8800000000000001,3.3463891451671604,1.791759469228055,1.7749523509116738,0.5877866649021191,0.4054651081081644,1.5040773967762742,3.0155349008501706,2.379546134130174,2.2192034840549946,1.4816045409242156,1.8082887711792655,1.6863989535702288,0.4700036292457356,1.6863989535702288,1.2237754316221157,3.586292865338835,0.5769654262705357,0.13317520384070336,0.13067832364211618,0.09505114599896505
8,2020,10245480.0,16.142347288284608,109140000.0,0.09387465640461792,0.08972612376535759,13197650.194612425,20,61,29,32,33.2,27.0,10.4,17.0,61.1,0.2,0.6,29.4,6.0,8.7,69.8,2.7,4.5,7.2,3.7,2.7,0.9,0.6,2.2,43.2,14,0,1.5,0.8132530120481927,0.21686746987951805,0.11144578313253012,0.027108433734939756,0.018072289156626505,0.08132530120481928,0.5120481927710843,0.3132530120481928,0.018072289156626505,0.006024096385542168,0.2620481927710843,0.18072289156626503,0.08132530120481928,0.1355421686746988,0.06626506024096386,0.4426229508196721,0.1180327868852459,0.060655737704918035,0.014754098360655738,0.009836065573770491,0.04426229508196722,0.2786885245901639,0.17049180327868854,0.009836065573770491,0.003278688524590164,0.1426229508196721,0.09836065573770492,0.04426229508196722,0.07377049180327869,0.036065573770491806,0.6176470588235294,0.6481659304782025,1.3703703703703702,0.375,0.625,3.332204510175204,2.1041341542702074,1.547562508716013,0.6418538861723948,0.4700036292457356,1.308332819650179,2.8903717578961645,2.4336133554004498,0.4700036292457356,0.18232155679395465,2.272125885509337,1.9459101490553132,1.308332819650179,1.7047480922384253,1.1631508098056809,3.5322256440685598,0.5951224763923324,0.1962799090446615,0.10566167512403864,0.07818741957179032
9,2020,40108950.0,17.507110084325205,109140000.0,0.3675,0.3129842553139992,51666090.0,32,35,23,12,33.1,26.9,9.3,17.2,53.7,2.4,5.4,45.0,6.0,6.8,88.2,0.4,6.7,7.1,5.6,3.4,0.7,1.3,2.0,46.3,12,0,8.0,0.8126888217522658,0.21450151057401812,0.16918429003021146,0.021148036253776432,0.03927492447129909,0.10271903323262839,0.5196374622356495,0.2809667673716012,0.16314199395770393,0.07250755287009063,0.20543806646525678,0.18126888217522658,0.012084592145015106,0.20241691842900303,0.060422960725075525,0.7685714285714286,0.20285714285714285,0.16,0.02,0.037142857142857144,0.09714285714285714,0.4914285714285714,0.26571428571428574,0.1542857142857143,0.06857142857142857,0.19428571428571428,0.17142857142857143,0.011428571428571429,0.19142857142857142,0.05714285714285714,0.6104651162790697,0.6661053882725831,1.6470588235294117,0.05633802816901409,0.943661971830986,3.32862668882732,2.0918640616783932,1.8870696490323797,0.5306282510621704,0.832909122935104,1.4816045409242156,2.9014215940827497,2.33214389523559,1.8562979903656263,1.2237754316221157,2.0541237336955462,1.9459101490553132,0.33647223662121295,2.0412203288596382,1.0986122886681098,3.529297384289471,0.5948112798390833,0.19433371324195814,0.1563063176527189,0.0977789782054286
10,2020,31742000.0,17.27315131455364,109140000.0,0.29083745647791825,0.25529119880836887,40888256.331317574,29,54,36,18,34.9,26.9,10.2,20.1,50.6,2.8,7.0,40.2,3.7,4.0,92.2,1.0,3.8,4.8,6.0,2.4,1.4,0.7,2.6,45.5,8,0,4.2,0.7707736389684814,0.13753581661891118,0.17191977077363899,0.040114613180515755,0.020057306590257878,0.06876790830945559,0.5759312320916906,0.2922636103151862,0.2005730659025788,0.08022922636103151,0.11461318051575932,0.10601719197707737,0.02865329512893983,0.10888252148997135,0.07449856733524356,0.4981481481481481,0.08888888888888889,0.1111111111111111,0.025925925925925925,0.012962962962962963,0.044444444444444446,0.37222222222222223,0.18888888888888888,0.12962962962962962,0.05185185185185185,0.07407407407407407,0.06851851851851852,0.018518518518518517,0.07037037037037036,0.04814814814814815,0.5771144278606964,0.6152790484903933,2.5,0.20833333333333334,0.7916666666666666,3.32862668882732,1.7578579175523736,1.9459101490553132,0.8754687373538999,0.5306282510621704,1.2237754316221157,3.0492730404820207,2.4159137783010487,2.0794415416798357,1.33500106673234,1.6094379124341003,1.547562508716013,0.6931471805599453,1.5686159179138452,1.2809338454620642,3.580737295494233,0.5714165352552636,0.12886435848476327,0.1586432338403746,0.06650649744138837
