target,r2,rmse,model
salary_cap_ratio,0.7924577394732404,0.04256399366217913,XGB
salary_cap_equiv,0.7913863865600881,5999411.814883867,XGB
log_salary_cap_ratio,0.7693820558445765,0.039086320666896,XGB
salary_usd,0.7562452644482136,5686019.887825982,XGB
log_salary,0.593010449012527,0.7289579014552086,XGB
