feature_set,model,target,R2,RMSE
core_20251028_003156,Ridge,salary_cap_ratio,0.6918090539374049,0.05186794438431837
core_20251028_003156,RF,salary_cap_ratio,0.7863954337636861,0.043181165949774364
core_20251028_003156,XGB,salary_cap_ratio,0.7867437614669628,0.04314594354419106
core_20251028_003156,LGBM,salary_cap_ratio,0.7771516180133536,0.04410561082826119
core_20251028_003156,MLP,salary_cap_ratio,0.6960701713321613,0.051508127390310084
core_20251028_003156,Ridge,salary_cap_equiv,0.6918090539374047,7292010.565102552
core_20251028_003156,RF,salary_cap_equiv,0.7860456939171199,6075721.62077724
core_20251028_003156,XGB,salary_cap_equiv,0.7836992434554527,6108947.184887397
core_20251028_003156,LGBM,salary_cap_equiv,0.7771516186327396,6200719.606506428
core_20251028_003156,MLP,salary_cap_equiv,0.6373688008625364,7909880.7166580595
core_20251028_003156,Ridge,log_salary_cap_ratio,0.694048832541003,0.045019876562907395
core_20251028_003156,RF,log_salary_cap_ratio,0.7826740513133099,0.03794320695286301
core_20251028_003156,XGB,log_salary_cap_ratio,0.7788459711894675,0.038275922824274736
core_20251028_003156,LGBM,log_salary_cap_ratio,0.7695703069857993,0.03907036452201196
core_20251028_003156,MLP,log_salary_cap_ratio,0.6637672701702358,0.04719524401024233
core_20251028_003156,Ridge,salary_usd,0.6794535727920203,6520446.168737548
core_20251028_003156,RF,salary_usd,0.7580651555784111,5664753.994887358
core_20251028_003156,XGB,salary_usd,0.7588913835254288,5655072.915495225
core_20251028_003156,LGBM,salary_usd,0.757893634695043,5666761.666546408
core_20251028_003156,MLP,salary_usd,0.6328000818239656,6978838.228870121
core_20251028_003156,Ridge,log_salary,0.5739725159711666,0.7458124465078452
core_20251028_003156,RF,log_salary,0.5816386110971812,0.7390717736813467
core_20251028_003156,XGB,log_salary,0.5907667545375126,0.7309644773419827
core_20251028_003156,LGBM,log_salary,0.4917514821341469,0.8146083896285594
core_20251028_003156,MLP,log_salary,0.579295391014323,0.7411386346475617
