level,model,mae,rmse,r2
L0′ (On-court),RandomForest,0.6971105070143065,0.8589889141644895,0.45328844016485903
L0′ (On-court),Ridge,0.6987595252056756,0.8713528054292489,0.43743694637749064
L1-A (On-court + Node2Vec),RandomForest,0.6682774005555835,0.823187486825926,0.49791105505480626
L1-A (On-court + Node2Vec),Ridge,0.6896687079319047,0.8631670669065752,0.4479570565154186
