R2,MAE,RMSE,model,setting,seed,n_test,overlap_ratio,cold_ratio,is_cold_start
0.5526888519175635,0.6061665884129908,0.7769861752712839,Ridge,Baseline (Stats Only),0,423,0.8486997635933806,0.15130023640661938,False
0.6483769612643366,0.49958458783202647,0.688885576730448,RandomForest,Baseline (Stats Only),0,423,0.8486997635933806,0.15130023640661938,False
0.1861366435582259,0.5070205566472326,0.700723025657377,Ridge,Baseline (Stats Only) (Cold-Start),0,64,,,True
0.4277127613989231,0.40519775168894384,0.5875944320861435,RandomForest,Baseline (Stats Only) (Cold-Start),0,64,,,True
0.5517641524885133,0.6056512164059356,0.7777888690361295,Ridge,Baseline (Stats + Meta CSV),0,423,0.8486997635933806,0.15130023640661938,False
0.6646222718997321,0.4946359707470219,0.6727838221199484,RandomForest,Baseline (Stats + Meta CSV),0,423,0.8486997635933806,0.15130023640661938,False
0.1890777487518408,0.5047044700370416,0.6994557580109521,Ridge,Baseline (Stats + Meta CSV) (Cold-Start),0,64,,,True
0.45480155272215184,0.4057317053019046,0.5735191796244897,RandomForest,Baseline (Stats + Meta CSV) (Cold-Start),0,64,,,True
0.5556525245924913,0.5989205636069977,0.7744079256573039,Ridge,Node2Vec + Stats,0,423,0.8486997635933806,0.15130023640661938,False
0.6604736368530602,0.4971358137710568,0.676932213139855,RandomForest,Node2Vec + Stats,0,423,0.8486997635933806,0.15130023640661938,False
0.1822338271382029,0.517456805245514,0.7024011467608824,Ridge,Node2Vec + Stats (Cold-Start),0,64,,,True
0.3492426750194476,0.4389227866341017,0.6265852592203045,RandomForest,Node2Vec + Stats (Cold-Start),0,64,,,True
0.5230310586537891,0.6235468755587926,0.8023308302197529,Ridge,RotatE + Stats,0,423,0.8486997635933806,0.15130023640661938,False
0.6722150919028116,0.4818602996209774,0.6651244418915714,RandomForest,RotatE + Stats,0,423,0.8486997635933806,0.15130023640661938,False
-0.0890883531816693,0.6077808199625245,0.8105917846362957,Ridge,RotatE + Stats (Cold-Start),0,64,,,True
0.4028989126254856,0.4171386060692317,0.6001980388626583,RandomForest,RotatE + Stats (Cold-Start),0,64,,,True
