setting,model,R2,RMSE,MAE,n_test,test_players,overlap_ratio_test,cold_start_ratio,p,emb_source
GNN_V1 | L0' + emb + time,Ridge,0.5060 ± 0.0000,0.8165 ± 0.0000,0.6190 ± 0.0000,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,139,gnn_v1_sage_player_embeddings.csv
GNN_V1 | L0' + emb + time | cold_start_2024,RandomForest,-0.2615 ± 0.0089,0.8724 ± 0.0031,0.6545 ± 0.0034,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,139,gnn_v1_sage_player_embeddings.csv
GNN_V1 | L0' + emb + time | cold_start_2024,Ridge,-0.5650 ± 0.0000,0.9717 ± 0.0000,0.7388 ± 0.0000,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,139,gnn_v1_sage_player_embeddings.csv
GNN_V1 | L0' + emb | cold_start_2024,RandomForest,-0.2550 ± 0.0080,0.8701 ± 0.0028,0.6541 ± 0.0026,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,137,gnn_v1_sage_player_embeddings.csv
GNN_V1 | L0' + emb | cold_start_2024,Ridge,-0.5795 ± 0.0000,0.9762 ± 0.0000,0.7415 ± 0.0000,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,137,gnn_v1_sage_player_embeddings.csv
GNN_V1 | emb only,RandomForest,0.3792 ± 0.0002,0.9153 ± 0.0001,0.6916 ± 0.0005,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,64,gnn_v1_sage_player_embeddings.csv
GNN_V1 | emb only,Ridge,0.2968 ± 0.0000,0.9742 ± 0.0000,0.7564 ± 0.0000,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,64,gnn_v1_sage_player_embeddings.csv
GNN_V1 | emb only | cold_start_2024,RandomForest,-0.4798 ± 0.0035,0.9449 ± 0.0011,0.7283 ± 0.0016,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,64,gnn_v1_sage_player_embeddings.csv
GNN_V1 | emb only | cold_start_2024,Ridge,-0.3983 ± 0.0000,0.9185 ± 0.0000,0.6927 ± 0.0000,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,64,gnn_v1_sage_player_embeddings.csv
Node2Vec | L0' + emb,RandomForest,0.5882 ± 0.0024,0.7455 ± 0.0021,0.5848 ± 0.0026,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,137,node2vec_L1A_player_embeddings.csv
Node2Vec | L0' + emb,Ridge,0.5557 ± 0.0000,0.7744 ± 0.0000,0.5989 ± 0.0000,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,137,node2vec_L1A_player_embeddings.csv
Node2Vec | L0' + emb + time,RandomForest,0.5855 ± 0.0024,0.7480 ± 0.0022,0.5873 ± 0.0021,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,139,node2vec_L1A_player_embeddings.csv
Node2Vec | L0' + emb + time,Ridge,0.5563 ± 0.0000,0.7738 ± 0.0000,0.5972 ± 0.0000,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,139,node2vec_L1A_player_embeddings.csv
Node2Vec | L0' + emb + time | cold_start_2024,RandomForest,0.1335 ± 0.0102,0.7230 ± 0.0043,0.5377 ± 0.0031,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,139,node2vec_L1A_player_embeddings.csv
Node2Vec | L0' + emb + time | cold_start_2024,Ridge,0.1864 ± 0.0000,0.7006 ± 0.0000,0.5197 ± 0.0000,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,139,node2vec_L1A_player_embeddings.csv
Node2Vec | L0' + emb | cold_start_2024,RandomForest,0.1553 ± 0.0130,0.7139 ± 0.0055,0.5312 ± 0.0055,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,137,node2vec_L1A_player_embeddings.csv
Node2Vec | L0' + emb | cold_start_2024,Ridge,0.1822 ± 0.0000,0.7024 ± 0.0000,0.5175 ± 0.0000,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,137,node2vec_L1A_player_embeddings.csv
Node2Vec | emb only,RandomForest,0.4032 ± 0.0012,0.8975 ± 0.0009,0.6996 ± 0.0008,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,64,node2vec_L1A_player_embeddings.csv
Node2Vec | emb only,Ridge,0.0750 ± 0.0000,1.1173 ± 0.0000,0.9225 ± 0.0000,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,64,node2vec_L1A_player_embeddings.csv
Node2Vec | emb only | cold_start_2024,RandomForest,-0.5375 ± 0.0173,0.9631 ± 0.0054,0.7316 ± 0.0044,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,64,node2vec_L1A_player_embeddings.csv
Node2Vec | emb only | cold_start_2024,Ridge,-1.1003 ± 0.0000,1.1257 ± 0.0000,0.8656 ± 0.0000,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,64,node2vec_L1A_player_embeddings.csv
RotatE | L0' + emb,RandomForest,0.5859 ± 0.0019,0.7476 ± 0.0017,0.5896 ± 0.0019,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,329,rotate_L1B_cpu_player_embeddings.csv
