R2,MAE,RMSE,model,setting,n_train,n_test,p
0.5876693351420246,0.584045705654564,0.7459869801749744,RandomForest,L1-A (Node2Vec),1659,423,137
0.5556525245924913,0.5989205636069977,0.7744079256573039,Ridge,L1-A (Node2Vec),1659,423,137
0.5868423564962679,0.5903106941137123,0.74673468867758,RandomForest,L1-B (RotatE),1659,423,329
0.5230310586537891,0.6235468755587926,0.8023308302197529,Ridge,L1-B (RotatE),1659,423,329
